finess;Raison_sociale;Enquete_obligatoire;Participation;Resultat_doc;doc_c_den_etbt;doc_c_etbt;doc_c_icbas_etbt;doc_c_ichaut_etbt;doc_c_pos_seuil_etbt;doc_c_pos_evol_etbt;Resultat_dtn;dtn2_c2_den_etbt;dtn2_c2_etbt;dtn2_c2_icbas_etbt;dtn2_c2_ichaut_etbt;dtn2_c2_pos_seuil_etbt;dtn2_c2_pos_evol_etbt;Lib_reg
030780092;CTRE HOSPITALIER MOULINS YZEURE;Oui;Oui;ES non contrôlé;80;47.5;36;59;C;;ES non contrôlé;80;93.75;86;98;A;Stable;Auvergne-Rhône-Alpes
030780100;CENTRE HOSPITALIER MONTLUCON;Oui;Oui;Recueil Validé;80;62.5;51;73;C;;Recueil Validé;80;73.75;63;83;B;Stable;Auvergne-Rhône-Alpes
030780118;CENTRE HOSPITALIER VICHY;Oui;Oui;ES non contrôlé;64;78.13;66;88;B;;ES non contrôlé;80;85;75;92;B;Stable;Auvergne-Rhône-Alpes
030780126;CH DE BOURBON L'ARCHAMBAULT;Oui;Oui;ES non contrôlé;80;77.5;67;86;B;;ES non contrôlé;80;80;70;88;B;Positive;Auvergne-Rhône-Alpes
030780548;POLYCL PERGOLA - VICHY;Oui;Oui;ES non contrôlé;80;11.25;5;20;C;;ES non contrôlé;80;78.75;68;87;B;Positive;Auvergne-Rhône-Alpes
030781116;CL ST-FRANC ST ANT -DESERTINE;Oui;Oui;ES non contrôlé;80;68.75;57;79;C;;ES non contrôlé;80;86.25;77;93;B;Stable;Auvergne-Rhône-Alpes
040780124;HL DIEUDONNE COLLOMP BANON;Oui;Oui;ES non contrôlé;39;79.49;64;91;B;;ES non contrôlé;40;10;3;24;C;Négative;PACA
040780173;HL D'ENTREVAUX;Oui;Oui;ES non contrôlé;31;19.35;7;38;C;;ES non contrôlé;35;22.86;10;40;C;Stable;PACA
040780181;HL FORCALQUIER;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;56.25;45;67;C;Négative;PACA
040780389;CLINIQUE MEDICALE JEAN GIONO;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;73.75;63;83;B;Positive;PACA
040780405;CENTRE DES CARMES;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;77.5;67;86;B;Stable;PACA
040780488;CRRF L'EAU VIVE;Oui;Oui;ES non contrôlé;80;71.25;60;81;B;;ES non contrôlé;80;58.75;47;70;C;Stable;PACA
040780520;KORIAN LE VERDON;Oui;Oui;ES non contrôlé;80;61.25;50;72;C;;ES non contrôlé;80;46.25;35;58;C;Négative;PACA
040782021;CENTRE LE COUSSON;Oui;Oui;ES non contrôlé;80;67.5;56;78;C;;ES non contrôlé;80;65;53;75;C;Stable;PACA
050000041;CENTRE RHONE - AZUR BRIANCON;Oui;Oui;ES non contrôlé;80;78.75;68;87;B;;ES non contrôlé;80;96.25;89;99;A;Stable;PACA
050000058;CTRE MED RIO VERT;Oui;Oui;ES non contrôlé;80;71.25;60;81;B;;ES non contrôlé;80;83.75;74;91;B;Stable;PACA
050000066;CENTRE MEDICAL LA SOURCE;Oui;Oui;ES non contrôlé;80;98.75;93;99;A;;ES non contrôlé;80;100;100;100;A;Stable;PACA
050000124;CH D'EMBRUN;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;86.25;77;93;B;Négative;PACA
050000298;MAISON D'ENFANTS LA GUISANE;Oui;Oui;ES non contrôlé;62;96.77;89;99;A;;ES non contrôlé;0;;;;;;PACA
050000371;MAISON D' ENFANTS JEUNES POUSSES;Oui;Oui;ES non contrôlé;55;78.18;65;88;B;;ES non contrôlé;0;;;;;;PACA
050000488;CENTRE DE CURE LES ACACIAS;Oui;Oui;ES non contrôlé;80;33.75;24;45;C;;ES non contrôlé;80;90;81;96;A;Négative;PACA
050000637;CTRE MED. D'ALTITUDE MONTJOY;Oui;Oui;ES non contrôlé;80;13.75;7;23;C;;ES non contrôlé;80;77.5;67;86;B;Négative;PACA
050000991;CENTRE MEDICAL CHANT'OURS;Oui;Oui;ES non contrôlé;80;77.5;67;86;B;;ES non contrôlé;80;97.5;91;99;A;Stable;PACA
050001064;LA DURANCE;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;93.75;86;98;A;Stable;PACA
050002351;CTRE RHONE AZUR-GAP;Oui;Oui;ES non contrôlé;71;94.37;86;99;A;;ES non contrôlé;71;95.77;88;99;A;Stable;PACA
050002948;CHICAS GAP-SISTERON;Oui;Oui;ES non contrôlé;80;72.5;61;82;B;;ES non contrôlé;80;62.5;51;73;C;Stable;PACA
050007145;CENTRE HOSPITALIER BUECH DURANCE;Oui;Oui;ES non contrôlé;24;0;0;0;C;;ES non contrôlé;28;0;0;0;C;Non Calculable;PACA
060000296;LA MAISON DU MINEUR;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;90;81;96;A;Stable;PACA
060005469;OLIVERAIE DES CAYRONS;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;96.25;89;99;A;Stable;PACA
060006889;HL INTERCOMMUNAL DE LA VÉSUBIE;Oui;Oui;ES non contrôlé;41;4.88;0;17;C;;ES non contrôlé;65;70.77;58;81;B;Stable;PACA
060021094;CLINIQUE VILLA ROMAINE;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;86.25;77;93;B;Non Calculable;PACA
060021201;ATLANTIS;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;100;100;100;A;Stable;PACA
060780145;CENTRE ST DOMINIQUE;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;95;88;99;A;Stable;PACA
060780186;MAISON DE CONV LAURIERS ROSES;Oui;Oui;ES non contrôlé;80;80;70;88;B;;ES non contrôlé;80;90;81;96;A;Stable;PACA
060780277;MAISON DE REPOS STE BRIGITTE;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;80;70;88;B;Négative;PACA
060780343;MAIS.CONV.L'ENSOLEILLEE;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;96.25;89;99;A;Stable;PACA
060780350;KORIAN LES HELLENIDES;Oui;Oui;ES non contrôlé;80;87.5;78;94;B;;ES non contrôlé;80;77.5;67;86;B;Stable;PACA
060780392;CENTRE CONVAL.MONTSINERY;Oui;Oui;ES non contrôlé;80;82.5;72;90;B;;ES non contrôlé;80;90;81;96;A;Stable;PACA
060780459;CL ORSAC MONTFLEURI;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;97.5;91;99;A;Positive;PACA
060780558;LES CADRANS SOLAIRES;Oui;Oui;ES non contrôlé;38;71.05;54;85;B;;ES non contrôlé;10;80;44;98;B;Non Calculable;PACA
060780657;HL BREIL SUR ROYA;Oui;Oui;ES non contrôlé;32;87.5;71;97;B;;ES non contrôlé;31;90.32;74;98;B;Stable;PACA
060780665;CLINIQUE LE MERIDIEN;Oui;Oui;ES non contrôlé;80;93.75;86;98;A;;ES non contrôlé;80;18.75;11;29;C;Négative;PACA
060780897;CH DE GRASSE;Oui;Oui;ES non contrôlé;67;100;100;100;A;;ES non contrôlé;79;94.94;87;99;A;Stable;PACA
060780905;HL ST ELOI DE SOSPEL;Oui;Oui;ES non contrôlé;36;33.33;19;51;C;;ES non contrôlé;39;69.23;52;83;B;Stable;PACA
060780954;C.H ANTIBES-JUAN LES PINS;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;88.75;80;95;B;Stable;PACA
060780988;CH DE CANNES;Oui;Oui;ES non contrôlé;78;89.74;81;96;A;;ES non contrôlé;80;100;100;100;A;Stable;PACA
060781374;INSTITUT POLYCLINIQUE DE CANNES;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;97.5;91;99;A;Positive;PACA
060785011;C.H.U.  DE  NICE;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;91.25;83;97;A;Positive;PACA
060785227;MAISON CONVALESCENCE ST BASILE;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;95;88;99;A;Stable;PACA
060789674;CTRE HELIO MARIN VALLAURIS;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;73.75;63;83;B;Stable;PACA
060790862;CLINIQUE MEDICALE LE CALME;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;97.5;91;99;A;Positive;PACA
060791746;CLINIQUE DE L'ESTAGNOL;Oui;Oui;ES non contrôlé;80;3.75;1;11;C;;ES non contrôlé;80;63.75;52;74;C;Non Calculable;PACA
060791761;CH LA PALMOSA MENTON;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;100;100;100;A;Stable;PACA
060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;92.5;84;97;A;Stable;PACA
060798881;MAISON CONVALESCENCE LA SERENA;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;100;100;100;A;Stable;PACA
060800182;UNITE DIETETIQUE COTE D AZUR;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;97.5;91;99;A;Stable;PACA
070000096;HOPITAL DE MOZE;Oui;Oui;ES non contrôlé;40;95;83;99;A;;ES non contrôlé;50;86;73;94;B;Stable;Auvergne-Rhône-Alpes
070000211;HOPITAL LOCAL SERRIERES;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;98.75;93;99;A;Stable;Auvergne-Rhône-Alpes
070002878;CENTRE HOSPITALIER DES VALS D'ARDECHE;Oui;Oui;ES non contrôlé;69;76.81;65;86;B;;ES non contrôlé;80;63.75;52;74;C;Positive;Auvergne-Rhône-Alpes
070004742;HOPITAL LOCAL DE LARGENTIERE;Oui;Oui;ES non contrôlé;74;36.49;26;49;C;;ES non contrôlé;80;81.25;71;89;B;Négative;Auvergne-Rhône-Alpes
070005558;HL INTCOM BOURG ST ANDEOL VIVIERS;Oui;Oui;ES non contrôlé;80;68.75;57;79;C;;ES non contrôlé;80;51.25;40;63;C;Stable;Auvergne-Rhône-Alpes
070005566;CH D'ARDECHE MERIDIONALE;Oui;Oui;ES non contrôlé;80;70;59;80;B;;ES non contrôlé;80;92.5;84;97;A;Stable;Auvergne-Rhône-Alpes
070780101;CENTRE HOSPITALIER JOS JULLIEN;Oui;Oui;ES non contrôlé;65;23.08;13;35;C;;ES non contrôlé;71;53.52;41;65;C;Stable;Auvergne-Rhône-Alpes
070780119;CH DE VALLON PONT D'ARC;Oui;Oui;ES non contrôlé;49;65.31;50;78;C;;ES non contrôlé;52;73.08;59;84;B;Stable;Auvergne-Rhône-Alpes
070780127;CH DE VILLENEUVE DE BERG;Oui;Oui;ES non contrôlé;80;71.25;60;81;B;;ES non contrôlé;80;46.25;35;58;C;Négative;Auvergne-Rhône-Alpes
070780150;CH DU CHEYLARD;Oui;Oui;ES non contrôlé;49;4.08;0;14;C;;ES non contrôlé;52;38.46;25;53;C;Stable;Auvergne-Rhône-Alpes
070780226;CENTRE RÉÉDUCATION RESPIRATOIRE DE FOLCHERAN;Oui;Oui;ES non contrôlé;80;8.75;3;17;C;;ES non contrôlé;80;51.25;40;63;C;Négative;Auvergne-Rhône-Alpes
070780234;CENTRE SSR LE CHATEAU;Oui;Oui;ES non contrôlé;80;75;64;84;B;;ES non contrôlé;80;31.25;21;43;C;Positive;Auvergne-Rhône-Alpes
070780242;LA CONDAMINE - SARL CHAPUIS FERNANDE;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;47.5;36;59;C;Négative;Auvergne-Rhône-Alpes
070780358;CH D'ARDECHE NORD;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;97.5;91;99;A;Stable;Auvergne-Rhône-Alpes
070780366;CH DE LAMASTRE;Oui;Oui;ES non contrôlé;80;35;25;47;C;;ES non contrôlé;80;91.25;83;97;A;Stable;Auvergne-Rhône-Alpes
070780374;HOPITAL LOCAL DE TOURNON;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;93.75;86;98;A;Stable;Auvergne-Rhône-Alpes
070780382;HOPITAL LOCAL DE ST FELICIEN;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;88.75;80;95;B;Stable;Auvergne-Rhône-Alpes
070784897;CENTRE DE POSTCURE VIRAC;Oui;Oui;ES non contrôlé;62;79.03;67;88;B;;ES non contrôlé;62;88.71;78;95;B;Stable;Auvergne-Rhône-Alpes
080000037;CENTRE HOSPITALIER DE SEDAN;Oui;Oui;ES non contrôlé;80;22.5;14;33;C;;ES non contrôlé;80;90;81;96;A;Stable;Grand Est
080000060;HOPITAL LOCAL FUMAY;Oui;Oui;Recueil Validé;39;2.56;0;14;C;;Recueil Validé;43;79.07;64;90;B;Stable;Grand Est
080000136;SA CLINIQUE DE REVIN;Oui;Oui;ES non contrôlé;54;85.19;73;93;B;;ES non contrôlé;58;100;100;100;A;Positive;Grand Est
080000250;CRF POUR ADULTES;Oui;Oui;ES non contrôlé;80;38.75;28;50;C;;ES non contrôlé;80;53.75;42;65;C;Négative;Grand Est
080000268;MRC SAINT JULIEN;Oui;Oui;ES non contrôlé;72;30.56;20;43;C;;ES non contrôlé;74;74.32;63;84;B;Négative;Grand Est
080010523;CLINQUE DU PARC;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;82.5;72;90;B;Stable;Grand Est
090180019;HOPITAL AX-LES-THERMES;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;71.25;60;81;B;Négative;Occitanie
090780107;CH LAVELANET;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;87.5;78;94;B;Stable;Occitanie
090781774;C H I DU VAL D ARIEGE;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;92.5;84;97;A;Stable;Occitanie
090781816;CH ARIEGE COUSERANS;Oui;Oui;ES non contrôlé;80;95;88;99;A;;ES non contrôlé;80;96.25;89;99;A;Positive;Occitanie
100000017;CENTRE HOSPITALIER DE TROYES;Oui;Oui;ES non contrôlé;80;31.25;21;43;C;;ES non contrôlé;80;66.25;55;76;C;Négative;Grand Est
100000041;HOPITAL LOCAL BAR SUR AUBE;Oui;Oui;Recueil Validé;61;6.56;2;16;C;;Recueil Validé;63;25.4;15;38;C;Stable;Grand Est
100000058;HOPITAL LOCAL BAR S/SEINE;Oui;Oui;ES non contrôlé;51;19.61;10;33;C;;ES non contrôlé;54;57.41;43;71;C;Négative;Grand Est
100006279;GROUPEMENT HOSPITALIER AUBE MARNE (GHAM);Oui;Oui;ES non contrôlé;80;30;20;41;C;;ES non contrôlé;80;67.5;56;78;C;Stable;Grand Est
100007285;CENTRE DE RÉÉDUCATION FONCTIONNELLE INSTITUT ASCLE;Oui;Oui;ES non contrôlé;80;90;81;96;A;;ES non contrôlé;80;100;100;100;A;Stable;Grand Est
100010362;GCS PLAT AVAL TERR CHAMP SUD CRF PAST;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;97.5;91;99;A;Positive;Grand Est
100010545;CLINIQUE KORIAN;Oui;Oui;ES non contrôlé;39;84.62;69;94;B;;ES non contrôlé;39;51.28;35;68;C;Non Calculable;Grand Est
110003118;CLINIQUE DU SUD;Oui;Oui;ES non contrôlé;80;8.75;3;17;C;;ES non contrôlé;80;75;64;84;B;Négative;Occitanie
110004942;SSR LES QUATRE FONTAINES;Oui;Oui;ES non contrôlé;80;72.5;61;82;B;;ES non contrôlé;80;98.75;93;99;A;Stable;Occitanie
110007630;SSR CENTRE DE LORDAT;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;80;70;88;B;Non Calculable;Occitanie
110780087;CH CASTELNAUDARY;Oui;Oui;ES non contrôlé;80;92.5;84;97;A;;ES non contrôlé;80;93.75;86;98;A;Négative;Occitanie
110780137;CH NARBONNE;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;62.5;51;73;C;Stable;Occitanie
110780194;CLINIQUE SOINS DE SUITE CHRISTINA;Oui;Oui;ES non contrôlé;80;86.25;77;93;B;;ES non contrôlé;80;100;100;100;A;Positive;Occitanie
110780202;MAIS REPOS CONV CHT LA VERNEDE;Oui;Oui;ES non contrôlé;80;86.25;77;93;B;;ES non contrôlé;80;88.75;80;95;B;Stable;Occitanie
110780228;POLYCLINIQUE LE LANGUEDOC;Oui;Oui;Recueil Validé;80;97.5;91;99;A;;Recueil Validé;80;91.25;83;97;A;Stable;Occitanie
110780707;HL LIMOUX  QUILLAN;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;97.5;91;99;A;Stable;Occitanie
110780772;CH  LEZIGNAN-CORBIERES;Oui;Oui;ES non contrôlé;71;97.18;90;99;A;;ES non contrôlé;80;97.5;91;99;A;Stable;Occitanie
110781010;CH FRANCIS VALS;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;72.5;61;82;B;Négative;Occitanie
110786324;A.S.M.;Oui;Oui;ES non contrôlé;80;100;100;100;A;;ES non contrôlé;80;98.75;93;99;A;Positive;Occitanie
120004528;CENTRE HOSPITALIER DE MILLAU;Oui;Oui;ES non contrôlé;80;13.75;7;23;C;;ES non contrôlé;80;92.5;84;97;A;Négative;Occitanie
120004619;CENTRE HOSPITALIER EMILE BOREL;Oui;Oui;ES non contrôlé;80;75;64;84;B;;ES non contrôlé;80;90;81;96;A;Positive;Occitanie
120780044;CH RODEZ;Oui;Oui;ES non contrôlé;80;35;25;47;C;;ES non contrôlé;80;86.25;77;93;B;Stable;Occitanie
120780069;CH VILLEFRANCHE-DE-ROUERGUE;Oui;Oui;ES non contrôlé;80;71.25;60;81;B;;ES non contrôlé;80;100;100;100;A;Stable;Occitanie
120780085;CH DECAZEVILLE;Oui;Oui;ES non contrôlé;80;56.25;45;67;C;;ES non contrôlé;80;58.75;47;70;C;Négative;Occitanie
120780093;HOPITAL ST-GENIEZ- D'OLT;Oui;Oui;ES non contrôlé;53;52.83;39;67;C;;ES non contrôlé;61;85.25;74;93;B;Stable;Occitanie
120780101;HOPITAL D'ESPALION;Oui;Oui;ES non contrôlé;80;85;75;92;B;;ES non contrôlé;80;82.5;72;90;B;Stable;Occitanie
120780135;CENTRE S.S.R. LA CLAUZE;Oui;Oui;ES non contrôlé;80;91.25;83;97;A;;ES non contrôlé;80;96.25;89;99;A;Stable;Occitanie
120780143;MAISON DE CONVALESCENCE ET REPOS  LES TILLEULS;Oui;Oui;ES non contrôlé;80;33.75;24;45;C;;ES non contrôlé;80;100;100;100;A;Stable;Occitanie
120780291;CENTRE MEDICAL MAURICE FENAILLE;Oui;Oui;ES non contrôlé;80;70;59;80;B;;ES non contrôlé;80;92.5;84;97;A;Négative;Occitanie
120780481;HOPITAL LOCAL DU VALLON SALLES LA SOURCE;Oui;Oui;ES non contrôlé;80;33.75;24;45;C;;ES non contrôlé;80;85;75;92;B;Stable;Occitanie
130001928;CH MONTOLIVET;Oui;Oui;ES non contrôlé;80;83.75;74;91;B;;ES non contrôlé;80;56.25;45;67;C;Stable;PACA
130002694;CLINIQUE MEDICALE JEAN PAOLI;Oui;Oui;ES non contrôlé;80;87.5;78;94;B;;ES non contrôlé;80;100;100;100;A;Stable;PACA
130008048;CLINIQUE SAINT MARTIN SUD;Oui;Oui;ES non contrôlé;80;87.5;78;94;B;;ES non contrôlé;80;53.75;42;65;C;Négative;PACA
130008238;CLINIQUE LA PHOCEANNE SUD;Oui;Oui;ES non contrôlé;80;96.25;89;99;A;;ES non contrôlé;80;90;81;96;A;Stable;PACA
130028228;HOPITAUX DES PORTES DE CAMARGUE;Oui;Oui;ES non contrôlé;73;46.58;35;59;C;;ES non contrôlé;80;40;29;52;C;Négative;PACA
130035793;CENTRE MEDICAL DES ALPILLES;Oui;Oui;ES non contrôlé;80;85;75;92;B;;ES non contrôlé;80;72.5;61;82;B;Stable;PACA
130041916;CH DU PAYS D'AIX CHI AIX PERTUIS;Oui;Oui;Recueil Validé;80;93.75;86;98;A;;Recueil Validé;80;80;70;88;B;Stable;PACA
130042526;KORIAN LES TROIS TOURS;Oui;Oui;ES non contrôlé;80;63.75;52;74;C;;ES non contrôlé;80;95;88;99;A;Stable;PACA
130043318;SSR PEDIATRIQUE VAL PRE VERT;Oui;Oui;ES non contrôlé;80;0;0;0;C;;ES non contrôlé;0;;;;;;PACA
130043854;CRF VALMANTE HOPITAL EUROPEEN;Oui;Oui;ES non contrôlé;80;81.25;71;89;B;;ES non contrôlé;80;80;70;88;B;Stable;PACA
130780083;CLINIQUE MADELEINE REMUZAT;Oui;Oui;ES non contrôlé;80;97.5;91;99;A;;ES non contrôlé;80;97.5;91;99;A;Stable;PACA
130781339;CH D'ALLAUCH;Oui;Oui;ES non contrôlé;80;62.5;51;73;C;;ES non contrôlé;80;42.5;31;54;C;Stable;PACA
130781438;CLINIQUE DE PROVENCE BOURBONNE;Oui;Oui;ES non contrôlé;80;73.75;63;83;B;;ES non contrôlé;80;76.25;65;85;B;Stable;PACA
130781446;CH D'AUBAGNE;Oui;Oui;ES non contrôlé;57;94.74;85;99;A;;ES non contrôlé;65;98.46;92;99;A;Stable;PACA
130781479;CLINIQUE LA CASAMANCE;Oui;Oui;ES non contrôlé;80;53.75;42;65;C;;ES non contrôlé;80;85;75;92;B;Stable;PACA
