finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
020000261;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;Hauts de France;1- Obligatoire;1- Oui;129;70,3;D;4-Non calculable;129;69.85;129;78;129;77.57;129;67.11;129;53.42;129;63.08;41,9;129
020000287;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;Hauts de France;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY;Hauts de France;1- Obligatoire;1- Oui;100;70,15;D;2-Stable;100;70.56;100;80.81;100;76.46;100;66.66;100;57.42;100;58.53;44;100
020004495;CENTRE HOSPITALIER D'HIRSON;020001087;CH HIRSON;Hauts de France;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
020010047;POLYCLINIQUE SAINT CLAUDE;020010047;HOPITAL PRIVE SAINT CLAUDE;Hauts de France;1- Obligatoire;1- Oui;173;74,73;B;2-Stable;173;74.61;173;81.57;173;82.23;173;71.93;173;61.8;173;65.3;54,7;172
030780092;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CENTRE HOSPITALIER DE MOULINS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;184;72,97;C;2-Stable;184;73.48;184;82.16;184;80.13;184;71.09;184;54.62;184;62.15;48,4;182
030780100;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;130;71,17;C;3-Amélioration;130;67.47;130;80.94;130;80.75;130;70.02;130;49.82;130;62.65;40;130
030780118;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;142;69,91;D;1-Diminution;142;70.55;142;78.85;142;77.74;142;65.19;142;59.75;142;58.03;42,3;142
030780548;POLYCLINIQUE LA PERGOLA;030780548;POLYCLINIQUE LA PERGOLA;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
030781116;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;030781116;HOPITAL PRIVE SAINT-FRANCOIS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;89;75,99;B;3-Amélioration;89;77.81;89;82.48;89;80.58;89;74.1;89;57.72;89;69.9;65,2;89
030785430;POLYCLINIQUE SAINT-ODILON;030785430;POLYCLINIQUE SAINT-ODILON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;151;78,13;A;2-Stable;151;80.7;151;84.17;151;82.71;151;77.97;151;61.94;151;69.72;73,5;151
040780215;CENTRE HOSPITALIER DE MANOSQUE;040000093;CENTRE HOSPITALIER DE MANOSQUE;PACA;1- Obligatoire;1- Oui;51;77,05;B;3-Amélioration;51;77.45;51;85.49;51;84.41;51;79.35;51;66;51;61.89;60,8;51
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;PACA;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;PACA;1- Obligatoire;1- Oui;72;77,33;A;4-Non calculable;72;75.56;72;84.94;72;84.2;72;77.16;72;64.05;72;68.07;62,5;72
040780470;CLINIQUE DE TOUTES AURES;040780470;CLINIQUE TOUTES AURES;PACA;2- Facultatif;1- Oui;36;77,19;B;1-Diminution;36;74.7;36;85.83;36;83.94;36;77.17;36;63.7;36;67.77;77,8;36
050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;PACA;1- Obligatoire;1- Oui;89;76,99;B;1-Diminution;89;77.74;89;82.4;89;84.99;89;81.69;89;57.65;89;64.26;62,9;89
050000116;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON;PACA;1- Obligatoire;1- Oui;197;72,31;C;3-Amélioration;197;66.81;197;81.76;197;78.23;197;78.69;197;59.31;197;60.88;55,3;197
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;050000348;CHI DES ALPES DU SUD SITE DE GAP;PACA;1- Obligatoire;1- Oui;311;71,61;C;2-Stable;311;70.41;311;80.1;311;77.03;311;72.84;311;57.88;311;61.2;45,6;309
060780897;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE;PACA;1- Obligatoire;1- Oui;160;72,11;C;2-Stable;160;70.32;160;79.79;160;77.97;160;73.31;160;53.73;160;64.66;57,5;160
060780905;CENTRE HOSPITALIER SAINT ELOI DE SOSPEL;060000486;CH SAINT ELOI DE SOSPEL;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060780954;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS;PACA;1- Obligatoire;1- Oui;69;69,12;D;4-Non calculable;69;67.97;69;77.34;69;76.65;69;68;69;53.9;69;60.76;44,9;69
060000528;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE;PACA;1- Obligatoire;1- Oui;233;76,21;B;2-Stable;233;74.46;233;83.99;233;83.98;233;76.15;233;57.93;233;67.87;75,3;231
060780988;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;060000544;CH DE CANNES SIMONE VEIL;PACA;1- Obligatoire;1- Oui;516;71,69;C;2-Stable;516;71.29;516;79.87;516;77.77;516;75.79;516;52.13;516;60.5;57,2;514
060791761;CENTRE HOSPITALIER LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON;PACA;1- Obligatoire;1- Oui;112;71,52;C;2-Stable;112;69.05;112;78.92;112;78.89;112;75.64;112;51.11;112;61.22;52,7;110
060021417;HOPITAL PRIVE CANNES OXFORD;060021417;HOPITAL PRIVE CANNES OXFORD;PACA;1- Obligatoire;1- Oui;296;75,96;B;2-Stable;296;73.7;296;83.29;296;83.94;296;82.56;296;46.34;296;66.91;60,5;294
060780442;CLINIQUE SAINT FRANCOIS;060780442;CLINIQUE SAINT FRANCOIS;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060780491;INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR;060780491;INSTITUT ARNAULT TZANCK;PACA;1- Obligatoire;1- Oui;680;74,98;B;3-Amélioration;680;77.53;680;81.35;680;80.98;680;75.32;680;59.35;680;63.57;67,6;678
060780517;POLYCLINIQUE SAINT JEAN;060780517;POLYCLINIQUE SAINT JEAN;PACA;1- Obligatoire;1- Oui;877;75,43;B;2-Stable;877;75.37;877;82.42;877;82.25;877;76.73;877;60.81;877;63.85;66,5;877
060780590;CLINIQUE DU PALAIS;060780590;CLINIQUE DU PALAIS;PACA;1- Obligatoire;1- Oui;137;75,49;B;3-Amélioration;137;74.65;137;82.46;137;85.2;137;76.88;137;51.72;137;65.9;68,6;137
060780715;CLINIQUE SAINT GEORGE;060780715;CLINIQUE SAINT GEORGE;PACA;1- Obligatoire;1- Oui;435;74,78;B;2-Stable;435;75.03;435;80.9;435;82.02;435;75.02;435;58.49;435;64.69;59,1;435
060780723;CLINIQUE DU PARC IMPERIAL;060780723;CLINIQUE DU PARC IMPERIAL;PACA;1- Obligatoire;1- Oui;96;74,89;B;3-Amélioration;96;71.94;96;82.92;96;84.68;96;71.5;96;50.42;96;70.23;56,8;95
060780756;POLYCLINIQUE SANTA MARIA;060780756;POLYCLINIQUE SANTA MARIA;PACA;1- Obligatoire;1- Oui;316;70,65;D;1-Diminution;316;71.46;316;77.78;316;79.93;316;67.13;316;56.61;316;58.23;50,3;316
060780947;HOPITAL LENVAL;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;PACA;1- Obligatoire;1- Oui;222;69,39;D;2-Stable;222;65.32;222;77.36;222;77;222;70.63;222;53.01;222;60.24;55,4;222
060781200;CLINIQUE SAINT ANTOINE;060781200;CLINIQUE SAINT ANTOINE;PACA;1- Obligatoire;1- Oui;111;73,02;C;1-Diminution;111;73.25;111;77.88;111;79.48;111;75.18;111;71.76;111;58.57;42,7;110
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;CHU DE NICE HOPITAL PASTEUR;PACA;1- Obligatoire;1- Oui;1235;73,42;C;2-Stable;1235;71.2;1235;81.17;1235;79.64;1235;77.04;1235;61.78;1235;61.53;57,5;1229
060785219;CLINIQUE PLEIN CIEL;060785219;CLINIQUE PLEIN CIEL;PACA;1- Obligatoire;1- Oui;108;70,94;C;2-Stable;108;72.83;108;80.69;108;77.09;108;75.86;108;55.58;108;54.6;60,2;108
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060788957;CHU DE NICE HOPITAL DE CIMIEZ;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;CHU DE NICE HOPITAL DE L'ARCHET;PACA;1- Obligatoire;1- Oui;1773;70,95;C;2-Stable;1773;68.51;1773;79.73;1773;78.2;1773;69.1;1773;60.14;1773;61.37;54,9;1770
060794013;CENTRE DE CARDIOLOGIE MEDICO CHIRURGICALE TZANCK;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;PACA;1- Obligatoire;1- Oui;398;75,03;B;3-Amélioration;398;79.66;398;81.72;398;80.23;398;79.24;398;60.56;398;58.69;75,6;398
060800166;CLINIQUE DE L'ESPERANCE;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;PACA;1- Obligatoire;1- Oui;337;74,04;B;2-Stable;337;74.23;337;80.96;337;81.6;337;77.04;337;46.7;337;65.28;65,3;337
070002878;CH DES VALS D'ARDÈCHE;070000013;CENTRE HOSPITALIER DES VALS D'ARDECHE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
070780358;CH D'ARDÈCHE NORD;070000179;CENTRE HOSPITALIER ARDECHE NORD;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;307;71;C;1-Diminution;307;71.15;307;79.19;307;76.45;307;68.8;307;57.64;307;61.17;41;305
070780374;CH DE TOURNON;070000195;CENTRE HOSPITALIER DE TOURNON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;46;82,13;A;4-Non calculable;46;84.09;46;87.5;46;86.6;46;83.22;46;83.27;46;67.56;89,1;46
070005566;CH D'ARDECHE MERIDIONALE;070000484;CENTRE HOSPITALIER BOIS VERT;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
070005566;CH D'ARDECHE MERIDIONALE;070000609;CENTRE HOSPITALIER D'AUBENAS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;260;72,93;C;2-Stable;260;74.57;260;81.94;260;78.29;260;69.65;260;60.35;260;61.4;49,8;257
070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;67;77,6;A;3-Amélioration;67;76.34;67;84.44;67;86.39;67;72.61;67;58.55;67;73.22;76,1;67
070780424;CLINIQUE PASTEUR;070780424;CLINIQUE PASTEUR;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;793;74,26;B;3-Amélioration;793;75.1;793;81.11;793;80.16;793;73.76;793;62.98;793;63.19;53,7;792
080000037;CENTRE HOSPITALIER DE SEDAN;080000110;CENTRE HOSPITALIER DE SEDAN;Grand Est;1- Obligatoire;1- Oui;44;68,58;D;4-Non calculable;44;71.68;44;77.64;44;72.4;44;69.42;44;52.08;44;55.82;45,5;44
080001969;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
080000615;CENTRE HOSPITALIER DE CHARLEVILLE MEZIERES;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;Grand Est;1- Obligatoire;1- Oui;125;70,85;C;4-Non calculable;125;67;125;79.71;125;75.55;125;73.99;125;57.75;125;61.42;36;125
080010473;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;090000175;CHIVAL SITE FOIX;Occitanie;1- Obligatoire;1- Oui;564;72,52;C;2-Stable;564;72.71;564;80;564;78.35;564;72.72;564;60.15;564;61.65;56;563
090781816;CENTRE HOSPITALIER ARIEGE COUSERANS;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;Occitanie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;090001629;CHIVAL SITE LAVELANET;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
100000082;CLINIQUE DU PAYS DE SEINE;100000082;CLINIQUE DU PAYS DE SEINE;Grand Est;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
100000017;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES;Grand Est;1- Obligatoire;1- Oui;62;72,85;C;4-Non calculable;62;73.96;62;80.76;62;80.14;62;74.8;62;51.51;62;61.71;50,8;61
100000124;POLYCLINIQUE  MONTIER LA CELLE;100000124;POLYCLINIQUE  MONTIER LA CELLE;Grand Est;1- Obligatoire;1- Oui;202;75,7;B;4-Non calculable;202;74.12;202;79.86;202;80.5;202;75.91;202;66.43;202;69.88;69,8;202
100000157;POLYCLINIQUE DES URSULINES;100000157;POLYCLINIQUE DES URSULINES;Grand Est;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
100006279;GROUPEMENT HOSPITALIER AUBE MARNE;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
100002351;CLINIQUE DE CHAMPAGNE;100002351;CLINIQUE DE CHAMPAGNE;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
100010818;GCS ES CLINIQUE DE CHAMPAGNE;100010818;GCS ES CLINIQUE DE CHAMPAGNE;Grand Est;1- Obligatoire;1- Oui;104;70,78;C;4-Non calculable;104;68.36;104;79.56;104;76.53;104;66.25;104;62.62;104;62.8;46,2;104
110780061;CENTRE HOSPITALIER DE CARCASSONNE;110000023;CH CARCASSONNE;Occitanie;1- Obligatoire;1- Oui;389;69,95;D;2-Stable;389;70.38;389;77.96;389;76.24;389;71.9;389;47.74;389;59.95;39,7;388
110780137;CENTRE HOSPITALIER DE NARBONNE;110000056;CH NARBONNE HOTEL DIEU;Occitanie;1- Obligatoire;1- Oui;85;71,85;C;4-Non calculable;85;69.6;85;82.5;85;78.87;85;72.11;85;52.09;85;61.9;48,2;85
110780228;POLYCLINIQUE LE LANGUEDOC;110780228;POLYCL LE LANGUEDOC;Occitanie;1- Obligatoire;1- Oui;436;71,85;C;3-Amélioration;436;69.18;436;79.87;436;80.08;436;69.01;436;57.4;436;64.12;46;435
110780483;POLYCLINIQUE MONTREAL;110780483;POLYCL MONTREAL;Occitanie;1- Obligatoire;1- Oui;179;75,29;B;2-Stable;179;76.01;179;82.87;179;82.25;179;73.49;179;54.9;179;66.82;59,9;177
120780044;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;Occitanie;1- Obligatoire;1- Oui;186;70,81;C;4-Non calculable;186;69.94;186;79.46;186;75.8;186;73.93;186;53.46;186;60.06;42,2;185
120780069;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;120000054;CH VILLEFRANCHE SITE CHARTREUSE;Occitanie;1- Obligatoire;1- Oui;80;75,97;B;4-Non calculable;80;77.77;80;84;80;83.03;80;68.63;80;65.71;80;66.86;58,8;80
120780085;CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE;120000070;CH PIERRE DELPECH DECAZEVILLE;Occitanie;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;;;
120004528;CENTRE HOSPITALIER DE MILLAU;120004569;CH MILLAU;Occitanie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
120004619;CENTRE HOSPITALIER DE SAINT AFFRIQUE;120004668;CH EMILE BOREL ST AFFRIQUE;Occitanie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;;;
130041916;CHI AIX PERTUIS;130000409;CHI SITE D'AIX EN PROVENCE;PACA;1- Obligatoire;1- Oui;425;68,03;D;2-Stable;425;63.83;425;77.44;425;76.14;425;67.14;425;53.02;425;59.46;44,7;423
130781446;CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;PACA;1- Obligatoire;1- Oui;245;69,66;D;2-Stable;245;66.69;245;79.91;245;80.59;245;65.56;245;45.05;245;62.3;47,3;245
130782634;CENTRE HOSPITALIER DE SALON DE PROVENCE;130001225;HOPITAL DU PAYS SALONNAIS;PACA;1- Obligatoire;1- Oui;60;72,4;C;4-Non calculable;60;72.44;60;82.09;60;79.94;60;67.07;60;60.54;60;60.88;36,7;60
130001647;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES;PACA;1- Obligatoire;1- Oui;1305;77,62;A;3-Amélioration;1305;76.73;1305;85.13;1305;83.9;1305;73.63;1305;70;1305;69.18;80,8;1302
130785512;CENTRE HOSPITALIER DE LA CIOTAT;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;PACA;1- Obligatoire;1- Oui;196;74,4;B;4-Non calculable;196;72.24;196;81.97;196;81.42;196;74.21;196;58.44;196;66.94;68,2;195
130789274;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES;PACA;1- Obligatoire;1- Oui;78;69,08;D;4-Non calculable;78;70.79;78;78.16;78;76.94;78;62.11;78;52.17;78;62.14;38,5;78
130789316;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;PACA;1- Obligatoire;1- Oui;52;71,72;C;4-Non calculable;52;73.73;52;79.1;52;80.76;52;64.98;52;53.17;52;64.4;45,1;51
130008253;CLINIQUE DE VITROLLES;130008253;CLINIQUE DE VITROLLES;PACA;1- Obligatoire;1- Oui;268;74,94;B;3-Amélioration;268;77.85;268;82.9;268;79.86;268;75.83;268;63.53;268;60.17;64,2;268
130037922;CLINIQUE DE LA RESIDENCE DU PARC;130037922;CLINIQUE DE LA RESIDENCE DU PARC;PACA;1- Obligatoire;1- Oui;239;78,12;A;3-Amélioration;239;79.54;239;86.15;239;86.96;239;72.86;239;48.21;239;73.59;51;239
130041767;EUROMED CARDIO;130041767;EUROMED CARDIO;PACA;1- Obligatoire;1- Oui;82;73,87;C;1-Diminution;82;71.63;82;80.46;82;80.84;82;77.14;82;70.91;82;62.05;62,2;82
130042096;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;PACA;1- Obligatoire;1- Oui;81;75,04;B;3-Amélioration;81;76.96;81;82.78;81;83.84;81;71.45;81;62.97;81;62.94;70,4;81
130043664;HOPITAL EUROPEEN;130043664;HOPITAL EUROPEEN;PACA;1- Obligatoire;1- Oui;761;77,07;B;2-Stable;761;76.57;761;81.2;761;82.51;761;79.16;761;71.09;761;67.04;70,7;761
130044753;CLINIQUE MONTICELLI VELODROME;130044753;CLINIQUE MONTICELLI VELODROME;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130780521;APHM HOPITAL NORD;PACA;1- Obligatoire;1- Oui;1376;68,65;D;2-Stable;1376;68.16;1376;78.43;1376;78.41;1376;62.37;1376;44.04;1376;61.57;43,5;1371
130781370;CLINIQUE JEANNE D'ARC;130781370;CLINIQUE JEANNE D'ARC;PACA;1- Obligatoire;1- Oui;34;74,05;B;4-Non calculable;34;74.7;34;81.7;34;86.92;34;64.47;34;43.92;34;70.82;44,1;34
130781479;HOPITAL PRIVE LA CASAMANCE;130781479;HOPITAL PRIVE LA CASAMANCE;PACA;1- Obligatoire;1- Oui;364;71,14;C;2-Stable;364;70.14;364;78.75;364;79.47;364;69.18;364;52.44;364;62.81;48,6;364
130781867;CLINIQUE DE LA CIOTAT;130781867;CLINIQUE DE LA CIOTAT;PACA;2- Facultatif;1- Oui;92;78,89;A;2-Stable;92;80.35;92;84.65;92;83.88;92;82.27;92;60.57;92;68.25;78,3;92
130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;PACA;1- Obligatoire;1- Oui;111;72,61;C;4-Non calculable;111;75.67;111;78.93;111;78.07;111;68.99;111;62.66;111;60.71;47,7;111
130782147;CLINIQUE GENERALE DE MARIGNANE;130782147;CLINIQUE GENERALE DE MARIGNANE;PACA;1- Obligatoire;1- Oui;268;69,06;D;1-Diminution;268;72.69;268;74.79;268;75.28;268;69.13;268;59.15;268;55.04;37,5;267
130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;PACA;1- Obligatoire;1- Oui;99;74,53;B;2-Stable;99;75.39;99;82.35;99;81.89;99;69.21;99;65.26;99;62.96;51,5;99
130782675;CLINIQUE VIGNOLI;130782675;CLINIQUE VIGNOLI;PACA;2- Facultatif;1- Oui;39;80,29;A;3-Amélioration;39;81.12;39;86.94;39;87.78;39;79.66;39;69.02;39;67.77;76,9;39
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783236;APHM HOPITAL DE LA CONCEPTION;PACA;1- Obligatoire;1- Oui;1296;69,82;D;2-Stable;1296;68.03;1296;79.94;1296;80.57;1296;62;1296;45.03;1296;64.33;47,1;1290
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783293;APHM HOPITAL LA TIMONE;PACA;1- Obligatoire;1- Oui;1497;67,32;D;2-Stable;1497;65.26;1497;77.95;1497;78.73;1497;59.66;1497;43.19;1497;60.82;43,2;1484
130783327;CLINIQUE BOUCHARD;130783327;CLINIQUE BOUCHARD;PACA;1- Obligatoire;1- Oui;715;72,56;C;2-Stable;715;69.95;715;82.56;715;81.39;715;72.4;715;61.71;715;58.73;56,7;713
130783665;CLINIQUE DE BONNEVEINE;130783665;CLINIQUE DE BONNEVEINE;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
130783723;CLINIQUE JUGE;130783723;CLINIQUE JUGE;PACA;1- Obligatoire;1- Oui;355;76,71;B;2-Stable;355;74.98;355;82.42;355;84;355;77.42;355;63.51;355;68.07;69,8;354
130784051;HOPITAL PRIVE CLAIRVAL;130784051;HOPITAL PRIVE CLAIRVAL;PACA;1- Obligatoire;1- Oui;1192;72,02;C;2-Stable;1192;68.71;1192;81.49;1192;81.7;1192;69.17;1192;56.11;1192;61.96;58,8;1186
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;PACA;1- Obligatoire;1- Oui;203;72,9;C;2-Stable;203;72.51;203;83.06;203;82.57;203;71.38;203;46.2;203;62.55;54;202
130784713;HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;PACA;1- Obligatoire;1- Oui;1312;72,5;C;2-Stable;1312;72.3;1312;80.81;1312;80.82;1312;70.78;1312;58.91;1312;60.16;55,9;1306
130784903;CLINIQUE LA PHOCEANNE;130784903;CLINIQUE LA PHOCEANNE;PACA;1- Obligatoire;1- Oui;206;81,24;A;2-Stable;206;85.56;206;86.7;206;89.21;206;79.51;206;64.94;206;70.34;62,6;206
