finess;finess_pmsi;nom_ES;region;type;obligatoire_icsha_v3_mhs;classe_ias_icsha_v3_mhs;res_ias_icsha_v3_mhs;evol_ias_icsha_v3_mhs;obligatoire_icsha_v3_psy;classe_ias_icsha_v3_psy;res_ias_icsha_v3_psy;evol_ias_icsha_v3_psy;obligatoire_dpa_had;classe_DPA_dtn_HAD;res_dpa_dtn_had;evol_dpa_dtn_had;classe_DPA_tre_HAD;res_dpa_tre_had;evol_dpa_tre_had;classe_DPA_coord_HAD;res_dpa_coord_had;evol_dpa_coord_had;classe_DPA_tdp_v3_HAD;res_dpa_tdp_v3_had;evol_dpa_tdp_v3_had;obligatoire_dpa_mco;classe_DPA_qls_v2_MCO;res_dpa_qls_v2_mco;evol_dpa_qls_v2_mco;classe_DPA_pcd_MCO;res_dpa_pcd_mco;evol_dpa_pcd_mco;obligatoire_dpa_ssr;classe_DPA_qls_SSR;res_dpa_qls_ssr;evol_dpa_qls_ssr;classe_DPA_pcd_SSR;res_dpa_pcd_ssr;evol_dpa_pcd_ssr;classe_DPA_pspv_SSR;res_dpa_pspv_ssr;evol_dpa_pspv_ssr;obligatoire_ca_mco;classe_CA_qls_v2_MCO;res_ca_qls_v2_mco;evol_ca_qls_v2_mco;ete_ortho_ratio_oe;ete_ortho_alerte_supe
910300151;910300151;CTRE DE REEDUC KORIAN L OBSERVATOIRE;Ile de France;Privé;1;C;61;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;87;Non concerné (non comparable);A;100%;Non concerné (non comparable);A;100;1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
660780156;660780156;CENTRE SSR LE VALLESPIR;Occitanie;PSPH/EBNL;1;B;89;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;40;Non concerné (non comparable);B;88%;Non concerné (non comparable);A;86;1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
100000124;100000124;POLYCLINIQUE MONTIER LA CELLE;Grand Est;Privé;1;C;80;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;45;Non concerné (non comparable);A;93%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;47;Non concerné (non comparable);0.0;0
640010518;640010518;CENTRE MEDICAL LEON DIEUDONNE;Nouvelle Aquitaine;Privé;1;C;50;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;84;Non concerné (non comparable);B;80%;Non concerné (non comparable);A;86;0;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
260000302;260000302;ETABLISSEMENT MEDICAL LA TEPPE;Auvergne-Rhône-Alpes;PSPH/EBNL;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;151;Non Applicable;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
770700011;770700011;CRF COUBERT;Ile de France;PSPH/EBNL;1;C;68;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;55%;1;A;92%;0;C;72;1;A;89;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;67;Non concerné (non comparable);C;66%;Non concerné (non comparable);C;64;-1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
430000182;430000182;SSR L'HORT DES MELLEYRINES;Auvergne-Rhône-Alpes;PSPH/EBNL;1;B;85;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;B;78;Non concerné (non comparable);A;99%;Non concerné (non comparable);A;91;1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
910805357;910805357;CLINIQUE DE L ESSONNE;Ile de France;Privé;1;C;70;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;48;Non concerné (non comparable);A;92%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;46;Non concerné (non comparable);3.46700895895636;1
320000169;320780190;CH DE MIRANDE;Occitanie;CH;1;C;52;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;85;Non concerné (non comparable);A;99%;Non concerné (non comparable);A;98;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
320000151;320780182;CH DE MAUVEZIN;Occitanie;CH;1;C;44;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);0;C;29;Non concerné (non comparable);A;98%;Non concerné (non comparable);1;C;42;Non concerné (non comparable);A;100%;Non concerné (non comparable);B;77;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
550000012;550000020;CH VERDUN/ST MIHIEL-HOP ST NICOLAS;Grand Est;CH;1;B;82;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;Non répondant;1;C;7;Non concerné (non comparable);B;88%;Non concerné (non comparable);1;C;24;Non concerné (non comparable);A;100%;Non concerné (non comparable);A;92;Non concerné (non comparable);1;C;54;Non concerné (non comparable);0.0;0
630000438;630781011;CH DE RIOM;Auvergne-Rhône-Alpes;CH;1;C;56;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;45;Non concerné (non comparable);A;100%;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;65;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité)
250015526;250015526;UNITÉ DE DIALYSE DE DESANCON;Bourgogne-Franche-Comté;Privé;1;B;86;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
340780857;340780857;CL LE CASTELET;Occitanie;Privé;1;B;80;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;A;86;Non concerné (non comparable);A;99%;Non concerné (non comparable);A;94;-1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
010007300;010007300;CLINIQUE AMBULATOIRE CENDANEG;Auvergne-Rhône-Alpes;Privé;1;C;29;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;0;Non concerné (non comparable);Non concerné (pas d'activité);Non concerné (pas d'activité)
130782493;130782493;SSR CLINIQUE SAINT LAURENT;PACA;Privé;1;A;110;Non Applicable;Non concerné;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);1;C;70;Non concerné (non comparable);C;46%;Non concerné (non comparable);C;43;-1;Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité);Non concerné (pas d'activité)
