finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_ajust;score_all_ajust;classement;evolution;score_AVH_ajust;nb_rep_score_AVH_ajust;score_ACC_ajust;nb_rep_score_ACC_ajust;score_PEC_ajust;nb_rep_score_PEC_ajust;score_CER_ajust;nb_rep_score_CER_ajust;score_OVS_ajust;nb_rep_score_OVS_ajust;taux_reco_brut;nb_reco_brut
030785430;POLYCLINIQUE SAINT-ODILON;030785430;POLYCLINIQUE SAINT-ODILON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;389;77,9;B;2-Stable;79,34;389;80,95;389;84,34;389;77,72;389;70,09;389;73,8;389
040780215;CENTRE HOSPITALIER DE MANOSQUE;040000093;CENTRE HOSPITALIER DE MANOSQUE;PACA;1- Obligatoire;1- Oui;148;79,26;B;4-Non calculable;82,57;148;83,36;148;86,58;148;77,91;148;69,76;148;60,8;148
040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;PACA;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
040780470;CLINIQUE DE TOUTES AURES;040780470;CLINIQUE TOUTES AURES;PACA;1- Obligatoire;1- Oui;543;75;C;2-Stable;80,08;543;80,49;543;82,98;543;68,51;543;65,19;543;62,8;540
050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;PACA;1- Obligatoire;1- Oui;1021;75,26;C;2-Stable;76,03;1021;81,7;1021;82,19;1021;70,58;1021;67,61;1021;69,8;1013
050000116;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON;PACA;1- Obligatoire;1- Oui;176;76,94;B;4-Non calculable;77,81;176;82,39;176;83,25;176;73,51;176;69,26;176;60,8;176
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;050000348;CHI DES ALPES DU SUD SITE DE GAP;PACA;1- Obligatoire;1- Oui;210;78,58;B;1-Diminution;81,3;210;82,15;210;84,5;210;77,27;210;70,76;210;64,3;210
060780897;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE;PACA;1- Obligatoire;1- Oui;76;77,73;B;2-Stable;78,83;76;85,04;76;83,44;76;68,67;76;71,9;76;69,7;76
060780954;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
060000528;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE;PACA;1- Obligatoire;1- Oui;147;80,33;A;3-Amélioration;81,53;147;84,29;147;86,73;147;78,09;147;73,04;147;87,7;146
060780988;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;060000544;CH DE CANNES SIMONE VEIL;PACA;1- Obligatoire;1- Oui;120;76,43;C;1-Diminution;80,1;120;79,73;120;83,1;120;74,26;120;68,18;120;59,2;120
060791761;CENTRE HOSPITALIER LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON;PACA;1- Obligatoire;1- Oui;272;81,7;A;4-Non calculable;84,14;272;85,77;272;88,2;272;77,13;272;74,48;272;75,4;272
060021417;HOPITAL PRIVE CANNES OXFORD;060021417;HOPITAL PRIVE CANNES OXFORD;PACA;1- Obligatoire;1- Oui;1724;74,28;C;2-Stable;80,51;1724;76,02;1724;83,22;1724;70,68;1724;63,77;1724;61,1;1719
060780442;CLINIQUE SAINT FRANCOIS;060780442;CLINIQUE SAINT FRANCOIS;PACA;1- Obligatoire;1- Oui;409;81,07;A;2-Stable;83,01;409;82,79;409;85,77;409;78,61;409;76,23;409;78,7;409
060780491;INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR;060780491;INSTITUT ARNAULT TZANCK;PACA;1- Obligatoire;1- Oui;481;77,31;B;2-Stable;80,53;481;81,27;481;83,36;481;70,81;481;70,89;481;69,6;481
060780517;POLYCLINIQUE SAINT JEAN;060780517;POLYCLINIQUE SAINT JEAN;PACA;1- Obligatoire;1- Oui;2106;77,27;B;2-Stable;80,89;2106;81,98;2106;84,17;2106;73,98;2106;68,16;2106;70,8;2106
060780590;CLINIQUE DU PALAIS;060780590;CLINIQUE DU PALAIS;PACA;1- Obligatoire;1- Oui;457;76,99;B;2-Stable;81,57;457;80,67;457;85,93;457;74,44;457;65,67;457;76,8;457
060780665;CLINIQUE DU MERIDIEN;060780665;CLINIQUE DU MERIDIEN;PACA;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
060780699;CLINIQUE MOZART;060780699;CLINIQUE MOZART;PACA;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
060780715;CLINIQUE SAINT GEORGE;060780715;CLINIQUE SAINT GEORGE;PACA;1- Obligatoire;1- Oui;496;73,78;C;2-Stable;73,03;496;77,53;496;82,03;496;70,75;496;66,64;496;63,2;494
060780723;CLINIQUE DU PARC IMPERIAL;060780723;CLINIQUE DU PARC IMPERIAL;PACA;1- Obligatoire;1- Oui;750;75,46;C;2-Stable;77,89;750;79,79;750;83,21;750;70,69;750;67,4;750;58,1;750
060780756;POLYCLINIQUE SANTA MARIA;060780756;POLYCLINIQUE SANTA MARIA;PACA;1- Obligatoire;1- Oui;115;73,62;C;2-Stable;72,53;115;77,61;115;81,89;115;69,69;115;67,01;115;68,4;114
060780947;HOPITAL LENVAL;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;PACA;1- Obligatoire;1- Oui;179;75,7;C;2-Stable;80,24;179;80,25;179;79,14;179;70,89;179;69,93;179;70,4;179
060781200;CLINIQUE SAINT ANTOINE;060781200;CLINIQUE SAINT ANTOINE;PACA;1- Obligatoire;1- Oui;303;72,15;D;1-Diminution;70,44;303;74,68;303;81,32;303;73,7;303;63,81;303;48,2;303
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;CHU DE NICE HOPITAL PASTEUR;PACA;1- Obligatoire;1- Oui;186;75,03;C;1-Diminution;74,41;186;80,06;186;83,77;186;71,26;186;67,2;186;65,8;184
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;CHU DE NICE HOPITAL DE L'ARCHET;PACA;1- Obligatoire;1- Oui;667;73,45;C;3-Amélioration;73,5;667;79,33;667;83,1;667;68,45;667;64,36;667;56,8;665
060800166;CLINIQUE DE L'ESPERANCE;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;PACA;1- Obligatoire;1- Oui;1275;76,3;C;2-Stable;81,89;1275;82,71;1275;85,11;1275;74,14;1275;63,19;1275;73,1;1273
070002878;CH DES VALS D'ARDÈCHE;070000013;CENTRE HOSPITALIER DES VALS D'ARDECHE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
070780358;CH D'ARDÈCHE NORD;070000179;CENTRE HOSPITALIER ARDECHE NORD;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;449;75,27;C;2-Stable;76,77;449;79,91;449;81,94;449;63,71;449;71,15;449;52,7;448
070005566;CH D'ARDECHE MERIDIONALE;070000609;CENTRE HOSPITALIER D'AUBENAS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;220;77,99;B;2-Stable;78,07;220;81,95;220;83,69;220;69,75;220;74,35;220;61,8;220
070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;327;77,79;B;2-Stable;82,26;327;83,06;327;85,65;327;76,98;327;66,01;327;71,3;327
070780424;CLINIQUE PASTEUR;070780424;CLINIQUE PASTEUR;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;1094;74,64;C;2-Stable;78,43;1094;78,63;1094;80,42;1094;64,97;1094;69,41;1094;57,8;1090
080000037;CENTRE HOSPITALIER DE SEDAN;080000110;CENTRE HOSPITALIER DE SEDAN;Grand Est;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
080001969;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
080000615;CENTRE HOSPITALIER DE CHARLEVILLE MEZIERES;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;Grand Est;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
080010473;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;090000175;CHIVAL SITE FOIX;Occitanie;1- Obligatoire;1- Oui;325;80,72;A;3-Amélioration;83,55;325;85,6;325;85,5;325;76,92;325;74,08;325;68,9;325
090781816;CENTRE HOSPITALIER ARIEGE COUSERANS;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;Occitanie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
100000082;CLINIQUE DU PAYS DE SEINE;100000082;CLINIQUE DU PAYS DE SEINE;Grand Est;1- Obligatoire;1- Oui;35;73,07;D;1-Diminution;72,9;35;77,63;35;79,27;35;72,37;35;65,57;35;54,3;35
100000017;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES;Grand Est;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
100000124;POLYCLINIQUE  MONTIER LA CELLE;100000124;POLYCLINIQUE  MONTIER LA CELLE;Grand Est;1- Obligatoire;1- Oui;397;74,23;C;4-Non calculable;75,74;397;78,86;397;80,82;397;75,67;397;64,48;397;63,1;396
100000157;POLYCLINIQUE DES URSULINES;100000157;POLYCLINIQUE DES URSULINES;Grand Est;1- Obligatoire;1- Oui;30;71,38;D;4-Non calculable;71,24;30;76,85;30;80,82;30;75,12;30;59,99;30;53,3;30
100002351;CLINIQUE DE CHAMPAGNE;100002351;CLINIQUE DE CHAMPAGNE;Grand Est;1- Obligatoire;2- Non;;;NR;;;;;;;;;;;;;
100010818;GCS ES CLINIQUE DE CHAMPAGNE;100010818;GCS ES CLINIQUE DE CHAMPAGNE;Grand Est;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
110780061;CENTRE HOSPITALIER DE CARCASSONNE;110000023;CH CARCASSONNE;Occitanie;1- Obligatoire;1- Oui;182;79,31;B;1-Diminution;82,98;182;82,5;182;85,56;182;75,18;182;72,13;182;63,2;182
110780137;CENTRE HOSPITALIER DE NARBONNE;110000056;CH NARBONNE HOTEL DIEU;Occitanie;1- Obligatoire;1- Oui;39;72,4;D;4-Non calculable;79,44;39;79,54;39;80,57;39;68,52;39;58,97;39;56,4;39
110780228;POLYCLINIQUE LE LANGUEDOC;110780228;POLYCL LE LANGUEDOC;Occitanie;1- Obligatoire;1- Oui;1053;74,84;C;2-Stable;79,3;1053;79,32;1053;82,85;1053;67,42;1053;66,29;1053;51,6;1048
110780483;POLYCLINIQUE MONTREAL;110780483;POLYCL MONTREAL;Occitanie;1- Obligatoire;1- Oui;1013;76,12;C;2-Stable;79,95;1013;79,67;1013;82,92;1013;70,09;1013;68,87;1013;62,9;1010
120780044;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;Occitanie;1- Obligatoire;1- Oui;96;78,2;B;4-Non calculable;77;96;83,05;96;82,96;96;73,86;96;74,04;96;54,7;95
120780069;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;120000054;CH VILLEFRANCHE SITE CHARTREUSE;Occitanie;1- Obligatoire;1- Oui;270;78,66;B;4-Non calculable;83,28;270;83,65;270;85,62;270;77,85;270;67,47;270;74,1;270
120004528;CENTRE HOSPITALIER DE MILLAU;120004569;CH MILLAU;Occitanie;1- Obligatoire;1- Oui;82;79,53;B;2-Stable;82,83;82;82,78;82;83,36;82;72,03;82;75,99;82;54,3;81
120004619;CENTRE HOSPITALIER DE SAINT AFFRIQUE;120004668;CH EMILE BOREL ST AFFRIQUE;Occitanie;1- Obligatoire;1- Oui;35;81,33;A;4-Non calculable;83,76;35;85,4;35;86,83;35;71,31;35;77,64;35;74,3;35
130041916;CHI AIX PERTUIS;130000409;CHI SITE D'AIX EN PROVENCE;PACA;1- Obligatoire;1- Oui;193;72,95;D;2-Stable;72,26;193;76,77;193;82,2;193;69,83;193;65,01;193;60,4;192
130781446;CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;PACA;1- Obligatoire;1- Oui;112;76,63;B;4-Non calculable;78,71;112;78,74;112;84,57;112;64,97;112;73,08;112;64,3;112
130782634;CENTRE HOSPITALIER DE SALON DE PROVENCE;130001225;HOPITAL DU PAYS SALONNAIS;PACA;1- Obligatoire;1- Oui;34;76,4;C;4-Non calculable;78,47;34;78,46;34;84,09;34;61,89;34;73,47;34;50;34
130001647;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES;PACA;1- Obligatoire;1- Oui;578;80,85;A;2-Stable;81,46;578;84,48;578;85,82;578;80,95;578;74,31;578;87;576
130785512;CENTRE HOSPITALIER DE LA CIOTAT;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;PACA;1- Obligatoire;1- Oui;99;77,6;B;4-Non calculable;81,93;99;80,41;99;84,22;99;72,12;99;70,27;99;72,7;99
130789274;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
130789316;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;PACA;1- Obligatoire;1- Oui;72;76,34;C;4-Non calculable;83,09;72;78,85;72;81,85;72;67,67;72;70,12;72;56,9;72
130008253;CLINIQUE DE VITROLLES;130008253;CLINIQUE DE VITROLLES;PACA;1- Obligatoire;1- Oui;355;75,12;C;2-Stable;76,16;355;79,86;355;81,32;355;68,85;355;69,65;355;61,4;355
130037922;CLINIQUE DE LA RESIDENCE DU PARC;130037922;CLINIQUE DE LA RESIDENCE DU PARC;PACA;1- Obligatoire;1- Oui;430;76,67;B;3-Amélioration;79,53;430;80,3;430;85,28;430;69,92;430;68,98;430;65,8;430
130042096;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
130043664;HOPITAL EUROPEEN;130043664;HOPITAL EUROPEEN;PACA;1- Obligatoire;1- Oui;335;77,28;B;2-Stable;80,02;335;80,46;335;82,45;335;79,22;335;68,51;335;68,3;334
130044753;CLINIQUE MONTICELLI VELODROME;130044753;CLINIQUE MONTICELLI VELODROME;PACA;1- Obligatoire;1- Oui;1104;77,46;B;2-Stable;82,61;1104;80,87;1104;83,87;1104;71,27;1104;69,83;1104;68,8;1101
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130780521;APHM HOPITAL NORD;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
130781370;CLINIQUE JEANNE D'ARC;130781370;CLINIQUE JEANNE D'ARC;PACA;1- Obligatoire;1- Oui;216;76,99;B;4-Non calculable;80,43;216;79,67;216;83,85;216;70,45;216;70,23;216;58,3;216
130781479;HOPITAL PRIVE LA CASAMANCE;130781479;HOPITAL PRIVE LA CASAMANCE;PACA;1- Obligatoire;1- Oui;1120;77,39;B;2-Stable;81,72;1120;81,56;1120;84,71;1120;70,86;1120;69,4;1120;68,2;1119
130781867;CLINIQUE DE LA CIOTAT;130781867;CLINIQUE DE LA CIOTAT;PACA;1- Obligatoire;1- Oui;920;79,69;B;2-Stable;82,82;920;82,92;920;85,81;920;77,04;920;72,1;920;76,3;920
130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;PACA;1- Obligatoire;1- Oui;765;74,8;C;2-Stable;80,72;765;79,47;765;81,47;765;64,38;765;67,61;765;57,9;764
130782147;CLINIQUE GENERALE DE MARIGNANE;130782147;CLINIQUE GENERALE DE MARIGNANE;PACA;1- Obligatoire;1- Oui;962;75,1;C;1-Diminution;77,34;962;79,85;962;82,04;962;73,11;962;66,36;962;53,7;958
130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;PACA;1- Obligatoire;1- Oui;447;75,63;C;2-Stable;80,39;447;81,74;447;83,93;447;71,18;447;64,61;447;65,5;446
130782675;CLINIQUE VIGNOLI;130782675;CLINIQUE VIGNOLI;PACA;1- Obligatoire;1- Oui;69;78,35;B;4-Non calculable;81,48;69;81,84;69;84,81;69;70,17;69;72,99;69;71;69
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783236;APHM HOPITAL DE LA CONCEPTION;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783293;APHM HOPITAL LA TIMONE;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;
130783327;CLINIQUE BOUCHARD;130783327;CLINIQUE BOUCHARD;PACA;1- Obligatoire;1- Oui;588;73,46;C;3-Amélioration;73,89;588;76,64;588;81,87;588;72,25;588;64,82;588;57,2;586
130783665;CLINIQUE DE BONNEVEINE;130783665;CLINIQUE DE BONNEVEINE;PACA;1- Obligatoire;1- Oui;149;73,64;C;4-Non calculable;79,53;149;79,37;149;81,74;149;65,52;149;63,58;149;54,4;149
130783723;CLINIQUE JUGE;130783723;CLINIQUE JUGE;PACA;1- Obligatoire;1- Oui;1938;77,01;B;2-Stable;82,14;1938;80,54;1938;83,98;1938;73,57;1938;67,82;1938;70,8;1932
130784051;HOPITAL PRIVE CLAIRVAL;130784051;HOPITAL PRIVE CLAIRVAL;PACA;1- Obligatoire;1- Oui;258;74,64;C;2-Stable;77,91;258;77,39;258;83,61;258;66,42;258;67,4;258;63,6;258
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;
130784713;HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;PACA;1- Obligatoire;1- Oui;1322;74,85;C;2-Stable;80;1322;77,1;1322;82,63;1322;68,54;1322;67,01;1322;60,1;1322
130784903;CLINIQUE LA PHOCEANNE;130784903;CLINIQUE LA PHOCEANNE;PACA;1- Obligatoire;1- Oui;323;79,51;B;4-Non calculable;81,18;323;81,16;323;85,43;323;75,09;323;74,56;323;78,3;323
130785389;CLINIQUE CHANTECLER;130785389;CLINIQUE CHANTECLER;PACA;1- Obligatoire;1- Oui;704;75,95;C;4-Non calculable;78,58;704;80,46;704;82,42;704;71,11;704;68,61;704;66,5;702
130785652;HOPITAL SAINT JOSEPH;130785652;HOPITAL SAINT JOSEPH;PACA;1- Obligatoire;1- Oui;1561;74,61;C;2-Stable;78,98;1561;76,69;1561;81,91;1561;68,13;1561;67,63;1561;65,7;1559
130785678;HOPITAL PRIVE MARSEILLE VERT COTEAU;130785678;HOPITAL PRIVE VERT COTEAU BEAUREGARD;PACA;1- Obligatoire;1- Oui;573;76,13;C;1-Diminution;79,6;573;80,99;573;84,77;573;69,66;573;67,08;573;57,1;571
130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;PACA;1- Obligatoire;1- Oui;987;75,04;C;2-Stable;78,46;987;75,33;987;81,78;987;69,72;987;69,87;987;59,1;984
130786445;MATERNITE CATHOLIQUE DE PROVENCE L'ETOILE;130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;PACA;1- Obligatoire;1- Oui;157;82,25;A;2-Stable;84,53;157;84,84;157;87,46;157;79,71;157;76,37;157;85,4;157
130786742;HOPITAL D'INSTRUCTION DES ARMEES LAVERAN;130786742;HIA LAVERAN;PACA;1- Obligatoire;1- Oui;142;80,25;A;2-Stable;84,91;142;82,37;142;85,59;142;72,28;142;75,49;142;81;142
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130804297;APHM HOPITAL LA TIMONE ENFANTS;PACA;2- Facultatif;1- Oui;44;60,1;D;4-Non calculable;61,43;44;64,54;44;73,68;44;44,41;44;52,79;44;38,6;44
130810740;CLINIQUE AXIUM;130810740;CLINIQUE AXIUM;PACA;1- Obligatoire;1- Oui;1299;76,69;B;3-Amélioration;81,05;1299;77,88;1299;82,17;1299;71,74;1299;71,12;1299;67,4;1299
140000035;CENTRE HOSPITALIER DE LISIEUX;140000027;CENTRE HOSPITALIER DE LISIEUX;Normandie;1- Obligatoire;1- Oui;;;NV;;;;;;;;;;;;;
140000100;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE;140000209;CHU COTE DE NACRE - CAEN;Normandie;1- Obligatoire;1- Oui;187;80,41;A;4-Non calculable;84,08;187;82,01;187;85,12;187;78,62;187;74,24;187;62;187
140000118;CENTRE HOSPITALIER DE FALAISE;140000233;CENTRE HOSPITALIER DE FALAISE;Normandie;1- Obligatoire;1- Oui;40;77,92;B;4-Non calculable;74,99;40;84,56;40;84,96;40;78,8;40;69,72;40;75;40
140000290;CLINIQUE NOTRE DAME - VIRE;140000290;CLINIQUE NOTRE DAME - VIRE;Normandie;1- Obligatoire;1- Oui;340;79,19;B;4-Non calculable;79,88;340;82,25;340;83,58;340;79,77;340;73,14;340;67,9;340
140000555;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER FRANCOIS BACLESSE;140000555;CRLCC FRANCOIS BACLESSE - CAEN;Normandie;1- Obligatoire;1- Oui;250;82,86;A;2-Stable;86,14;250;87,08;250;87,24;250;74,16;250;78,56;250;88,4;250
140002452;CLINIQUE DE LA MISERICORDE - CAEN;140002452;CLINIQUE DE LA MISERICORDE - CAEN;Normandie;1- Obligatoire;1- Oui;76;82,63;A;2-Stable;84,84;76;85,28;76;87,9;76;80,08;76;76,7;76;81,6;76
140016759;POLYCLINIQUE DU PARC - CAEN;140016759;POLYCLINIQUE DU PARC - CAEN;Normandie;1- Obligatoire;1- Oui;396;76,32;C;2-Stable;80,31;396;79,06;396;82,56;396;68,51;396;70,59;396;61,2;394
