finess,Sources,lib_reg,code_reg,raison_sociale,lib_cat,repondant,resultat_tda,resultat_trd,tda_c_etbt,tda_c_ichaut_etbt,tda_c_icbas_etbt,tda_c_den_etbt,trd_c_etbt,trd_c_ichaut_etbt,trd_c_icbas_etbt,trd_c_den_etbt
060780723,2015,PACA,93,CLINIQUE DU PARC IMPERIAL,Privé,Oui,Pas de contrôle,Pas de contrôle,89.8,92.22,87.38,60,90.91,97,80,55
060780756,2015,PACA,93,CLINIQUE SANTA MARIA,Privé,Oui,Pas de contrôle,Pas de contrôle,89.46,90.93,88,60,27.08,42,15,48
060780897,2015,PACA,93,CH DE GRASSE,CH,Oui,Pas de contrôle,Pas de contrôle,81.76,85.22,78.29,60,65.12,79,49,43
060780947,2015,PACA,93,HOPITAUX PEDIATRIQUES NICE CHU LENVAL,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,94.43,96.05,92.82,60,89.83,96,79,59
060780954,2015,PACA,93,C.H ANTIBES-JUAN LES PINS,CH,Oui,Pas de contrôle,Pas de contrôle,99.23,99.82,98.64,60,90.2,97,79,51
060780988,2015,PACA,93,CH DE CANNES,CH,Oui,Pas de contrôle,Pas de contrôle,59.39,63.73,55.06,60,29.55,45,17,44
060781200,2015,PACA,93,CLINIQUE SAINT ANTOINE,Privé,Oui,Pas de contrôle,Pas de contrôle,99.7,100,99.1,60,100,100,100,60
060785011,2015,PACA,93,C.H.U.  DE  NICE,CHU,Oui,Pas de contrôle,Pas de contrôle,86.9,89.55,84.25,60,75,86,61,52
060785219,2015,PACA,93,CLINIQUE PLEIN CIEL,Privé,Oui,Pas de contrôle,Pas de contrôle,78.73,82.25,75.21,60,98.31,99,91,59
060791761,2015,PACA,93,CH LA PALMOSA MENTON,CH,Oui,Pas de contrôle,Pas de contrôle,82.57,86.29,78.84,60,75.44,86,62,57
060791811,2015,PACA,93,HOPITAL PRIVE GERIATRIQUE LES SOURCES,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,78.12,80.41,75.84,60,16.95,29,8,59
060794013,2015,PACA,93,INSTITUT ARNAULT TZANCK,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,61.91,69.81,54,60,42.86,59,28,42
060800166,2015,PACA,93,CLINIQUE DE L'ESPERANCE,Privé,Oui,Pas de contrôle,Pas de contrôle,94.16,95.9,92.43,60,95.65,99,78,23
070000096,2015,Auvergne-Rhône-Alpes,84,HOPITAL DE MOZE,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,81.08,81.71,80.44,60,0,,,2
070002878,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER DES VALS D'ARDECHE,CH,Oui,Pas de contrôle,Pas de contrôle,71.3,74.18,68.43,60,82.05,93,66,39
070005566,2015,Auvergne-Rhône-Alpes,84,CH D'ARDECHE MERIDIONALE,CH,Oui,Recueil Validé,Recueil Validé,74.47,78.6,70.34,60,41.18,56,28,51
070780168,2015,Auvergne-Rhône-Alpes,84,CLINIQUE DU VIVARAIS,Privé,Oui,Pas de contrôle,Pas de contrôle,79.46,82.22,76.69,60,32.2,46,21,59
070780358,2015,Auvergne-Rhône-Alpes,84,CH D'ARDECHE NORD,CH,Oui,Pas de contrôle,Pas de contrôle,91.47,93.96,88.98,60,71.15,83,57,52
070780408,2015,Auvergne-Rhône-Alpes,84,CLINIQUE DES CEVENNES,Privé,Oui,Pas de contrôle,Pas de contrôle,88.3,90.38,86.22,59,100,100,100,59
070780424,2015,Auvergne-Rhône-Alpes,84,CLINIQUE PASTEUR,Privé,Oui,Pas de contrôle,Pas de contrôle,91.17,92.28,90.06,60,98.11,99,90,53
080000037,2015,Alsace-Champagne-Ardenne-Lorraine,44,CENTRE HOSPITALIER DE SEDAN,CH,Oui,Pas de contrôle,Pas de contrôle,92.94,95.47,90.41,60,83.02,92,70,53
080000615,2015,Alsace-Champagne-Ardenne-Lorraine,44,CH CHARLEVILLE MEZIERES,CH,Oui,Pas de contrôle,Pas de contrôle,71.92,75.63,68.21,60,43.33,63,25,30
080001969,2015,Alsace-Champagne-Ardenne-Lorraine,44,GROUPE HOSPITALIER SUD ARDENNES,CH,Oui,Pas de contrôle,Pas de contrôle,96.74,98.07,95.41,60,80.7,90,68,57
080010465,2015,Alsace-Champagne-Ardenne-Lorraine,44,GCS TERRIT ARDEN NORD SITE CH SEDAN,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,74.68,77.56,71.79,60,74.55,85,61,55
080010473,2015,Alsace-Champagne-Ardenne-Lorraine,44,GCS TERRIT ARDEN NORD SITE CH CHARLEVI,ESPIC/EBNL,Oui,Recueil Validé,Recueil Validé,74.63,77.79,71.47,60,97.56,99,87,41
090780107,2015,Occitanie,76,CH LAVELANET,CH,Oui,Pas de contrôle,Pas de contrôle,92.18,94.65,89.71,60,96.67,99,88,60
090781774,2015,Occitanie,76,C H I DU VAL D ARIEGE,CH,Oui,Pas de contrôle,Pas de contrôle,91.93,94.6,89.25,60,87.27,95,75,55
090781816,2015,Occitanie,76,CH ARIEGE COUSERANS,CH,Oui,Pas de contrôle,Pas de contrôle,87.61,90.26,84.95,60,38.89,53,26,54
100000017,2015,Alsace-Champagne-Ardenne-Lorraine,44,CENTRE HOSPITALIER DE TROYES,CH,Oui,Pas de contrôle,Pas de contrôle,86.95,90.55,83.35,60,71.43,83,57,49
100000082,2015,Alsace-Champagne-Ardenne-Lorraine,44,CLINIQUE PAYS DE SEINE,Privé,Oui,Pas de contrôle,Pas de contrôle,99.87,100,99.62,60,62.5,85,35,16
100000124,2015,Alsace-Champagne-Ardenne-Lorraine,44,POLYCL MONTIER LA CELLE,Privé,Oui,Pas de contrôle,Pas de contrôle,82.94,85.77,80.12,60,65,77,52,60
100000157,2015,Alsace-Champagne-Ardenne-Lorraine,44,CLINIQUE DES URSULINES,Privé,Oui,Pas de contrôle,Pas de contrôle,81.83,84.08,79.59,60,25.42,38,15,59
100002351,2015,Alsace-Champagne-Ardenne-Lorraine,44,CLINIQUE DE CHAMPAGNE - TROYES,Privé,Oui,Pas de contrôle,Pas de contrôle,81.64,86.46,76.83,60,94,99,83,50
100006279,2015,Alsace-Champagne-Ardenne-Lorraine,44,GROUPEMENT HOSPITALIER AUBE MARNE (GHAM),CH,Oui,Pas de contrôle,Pas de contrôle,93.48,95.48,91.47,60,82.14,94,63,28
110780061,2015,Occitanie,76,CH CARCASSONNE,CH,Oui,Pas de contrôle,Pas de contrôle,90.81,93.08,88.54,60,75,86,62,56
110780137,2015,Occitanie,76,CH NARBONNE,CH,Oui,Pas de contrôle,Pas de contrôle,80.55,83.96,77.14,60,61.36,76,45,44
110780228,2015,Occitanie,76,POLYCLINIQUE LE LANGUEDOC,Privé,Oui,Pas de contrôle,Pas de contrôle,83.96,86.44,81.48,60,53.49,69,38,43
110780483,2015,Occitanie,76,CLINIQUE MONTREAL,Privé,Oui,Pas de contrôle,Pas de contrôle,91.51,94.35,88.68,60,0,0,0,50
110780772,2015,Occitanie,76,CH  LEZIGNAN-CORBIERES,CH,Oui,Pas de contrôle,Pas de contrôle,96.86,98.13,95.59,60,100,100,100,59
120004528,2015,Occitanie,76,CENTRE HOSPITALIER DE MILLAU,CH,Oui,Pas de contrôle,Pas de contrôle,82.83,86.06,79.59,60,90.38,97,79,52
120004619,2015,Occitanie,76,CENTRE HOSPITALIER EMILE BOREL,CH,Oui,Pas de contrôle,Pas de contrôle,89.73,92.55,86.91,60,96.67,99,88,60
120780044,2015,Occitanie,76,CH RODEZ,CH,Oui,Pas de contrôle,Pas de contrôle,82.44,85.1,79.78,60,59.57,74,44,47
120780069,2015,Occitanie,76,CH VILLEFRANCHE-DE-ROUERGUE,CH,Oui,Pas de contrôle,Pas de contrôle,87.88,90.96,84.79,60,66.67,79,53,57
120780085,2015,Occitanie,76,CH DECAZEVILLE,CH,Oui,Pas de contrôle,Pas de contrôle,77.13,80.32,73.94,60,82.22,92,68,45
130001647,2015,PACA,93,INSTITUT PAOLI - CALMETTES,CLCC,Oui,Pas de contrôle,Pas de contrôle,94.36,96.44,92.27,60,96.61,99,88,59
130008253,2015,PACA,93,CLINIQUE DE VITROLLES,Privé,Oui,Pas de contrôle,Pas de contrôle,96.09,98.9,93.28,60,100,100,100,46
130037922,2015,PACA,93,HPC RESIDENCE DU PARC,Privé,Oui,Pas de contrôle,Pas de contrôle,80.69,85.38,76,60,70.83,83,56,48
130041767,2015,PACA,93,EUROMED CARDIO,Privé,Oui,Pas de contrôle,Pas de contrôle,85.82,89.54,82.1,60,100,100,100,59
130041916,2015,PACA,93,CH DU PAYS D'AIX CHI AIX PERTUIS,CH,Oui,Pas de contrôle,Pas de contrôle,83.44,88.03,78.85,60,34.38,53,19,32
130042096,2015,PACA,93,GCS CENTRE CARDIO AXIUM RAMBO,Privé,Oui,Pas de contrôle,Pas de contrôle,74.74,78.68,70.81,60,34,49,21,50
130043664,2015,PACA,93,HOP EUROPEEN DESBIEF AMBROISE PARE,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,91.99,94.29,89.7,60,98.28,99,91,58
130780521,2015,PACA,93,APHM HOPITAL NORD,CHU,Oui,Pas de contrôle,Pas de contrôle,60.98,65.12,56.84,60,54.17,69,39,48
130781289,2015,PACA,93,POLYCLINIQUE DU PARC RAMBOT LA PROVENCALE,Privé,Oui,Pas de contrôle,Pas de contrôle,79.24,82.64,75.84,60,89.8,97,78,49
130781370,2015,PACA,93,CLINIQUE JEANNE D'ARC,Privé,Oui,Pas de contrôle,Pas de contrôle,79.82,82.81,76.83,60,63.33,75,50,60
130781446,2015,PACA,93,CH D'AUBAGNE,CH,Oui,Pas de contrôle,Pas de contrôle,86,88.68,83.32,60,95.74,99,85,47
130781479,2015,PACA,93,CLINIQUE LA CASAMANCE,Privé,Oui,Pas de contrôle,Pas de contrôle,86.55,89.85,83.25,60,55.81,71,40,43
130781867,2015,PACA,93,CLINIQUE DE LA CIOTAT,Privé,Oui,Pas de contrôle,Pas de contrôle,91.93,95.01,88.86,60,96.61,99,88,59
130782071,2015,PACA,93,CLINIQUE DE L'ETANG DE L'OLIVIER,Privé,Oui,Pas de contrôle,Pas de contrôle,71.34,75.06,67.61,60,70,88,46,20
130782147,2015,PACA,93,CLINIQUE GENERALE DE MARIGNANE,Privé,Oui,Pas de contrôle,Pas de contrôle,97.97,99.37,96.56,60,98.21,99,90,56
130782162,2015,PACA,93,CLINIQUE DE MARTIGUES,Privé,Oui,Pas de contrôle,Pas de contrôle,94.21,95.64,92.78,60,100,100,100,60
130782634,2015,PACA,93,CH DE SALON,CH,Oui,Pas de contrôle,Pas de contrôle,71.89,75.54,68.24,60,91.23,97,81,57
130782675,2015,PACA,93,CL. CHIRURGICALE DU DR VIGNOLI,Privé,Oui,Pas de contrôle,Pas de contrôle,91.63,93.79,89.47,60,90.91,99,71,22
130783236,2015,PACA,93,APHM HOPITAL LA CONCEPTION,CHU,Oui,Pas de contrôle,Pas de contrôle,76.21,79.25,73.18,60,86.11,95,70,36
130783293,2015,PACA,93,APHM TIMONE ADULTES,CHU,Oui,Pas de contrôle,Pas de contrôle,74.46,,,30,88.46,98,70,26
130783327,2015,PACA,93,CLINIQUE BOUCHARD,Privé,Oui,Recueil Validé,Recueil Validé,95.69,97.69,93.69,60,100,100,100,46
130783665,2015,PACA,93,CLINIQUE  DE BONNEVEINE,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,98.26,99.26,97.26,60,71.43,92,42,14
130783723,2015,PACA,93,CLINIQUE JUGE,Privé,Oui,Pas de contrôle,Pas de contrôle,99.2,100,98.39,60,98.31,99,91,59
130783772,2015,PACA,93,CLINIQUE MONTICELLI,Privé,Oui,Pas de contrôle,Pas de contrôle,95.09,97.01,93.16,60,53.33,66,40,60
130783962,2015,PACA,93,CLINIQUE WULFRAN PUGET,Privé,Oui,Pas de contrôle,Pas de contrôle,98.84,99.82,97.86,60,100,100,100,46
130784051,2015,PACA,93,POLYCLINIQUE CLAIRVAL,Privé,Oui,Recueil Validé,Recueil Validé,81.69,86.1,77.28,60,92.59,98,82,54
130784234,2015,PACA,93,APHM HOPITAUX SUD,CHU,Oui,Pas de contrôle,Pas de contrôle,89.6,92.53,86.67,60,15,27,7,60
130784713,2015,PACA,93,CLINIQUE BEAUREGARD,Privé,Oui,Pas de contrôle,Pas de contrôle,93.4,97.11,89.68,60,96.15,99,87,52
130784903,2015,PACA,93,CL. MED.-CHIRURG. LA PHOCEANNE,Privé,Oui,Pas de contrôle,Pas de contrôle,97.18,98.42,95.94,60,98.33,99,91,60
130785389,2015,PACA,93,CLINIQUE CHANTECLER,Privé,Oui,Pas de contrôle,Pas de contrôle,94.92,96.72,93.13,60,95,99,86,60
130785512,2015,PACA,93,CH DE LA CIOTAT,CH,Oui,Pas de contrôle,Pas de contrôle,80.48,83.23,77.74,60,80.77,90,67,52
130785652,2015,PACA,93,HOPITAL SAINT JOSEPH,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,85.84,90.08,81.6,60,89.74,97,76,39
130785678,2015,PACA,93,CLINIQUE VERT COTEAU,Privé,Oui,Pas de contrôle,Pas de contrôle,87.32,90.08,84.56,60,100,100,100,60
130786361,2015,PACA,93,POLYCLINIQUE DU PARC RAMBOT,Privé,Oui,Pas de contrôle,Pas de contrôle,79.66,84.6,74.73,60,96.43,99,88,56
130786445,2015,PACA,93,ETOILE MATERNITE CATHOLIQUE,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,70.21,73.99,66.43,60,96.15,99,80,26
130786742,2015,Service de santé des armées,12,HÔPITAL D'INSTRUCTION DES ARMÉES LAVERAN,CH,Oui,Pas de contrôle,Pas de contrôle,94.4,96.6,92.19,60,81.82,91,69,55
130789274,2015,PACA,93,CH D'ARLES,CH,Oui,Pas de contrôle,Pas de contrôle,78.1,80.83,75.38,60,59.26,72,45,54
130789316,2015,PACA,93,CH  DE  MARTIGUES,CH,Oui,Pas de contrôle,Pas de contrôle,83.93,86.64,81.21,60,42.5,59,27,40
130804297,2015,PACA,93,APHM TIMONE ENFANTS,CHU,Oui,Pas de contrôle,Pas de contrôle,64.9,,,30,64.29,81,44,28
130810740,2015,PACA,93,CLINIQUE AXIUM,Privé,Oui,Pas de contrôle,Pas de contrôle,81.69,85.36,78.02,60,70,81,57,60
140000035,2015,Normandie,28,CENTRE HOSPITALIER DE LISIEUX,CH,Oui,Pas de contrôle,Pas de contrôle,68.45,71.73,65.18,60,61.36,76,45,44
140000092,2015,Normandie,28,CENTRE HOSPITALIER DE BAYEUX,CH,Oui,Pas de contrôle,Pas de contrôle,98.45,99.43,97.46,60,72.09,85,56,43
140000100,2015,Normandie,28,CHU COTE DE NACRE CAEN,CHU,Oui,Pas de contrôle,Pas de contrôle,82.11,85.82,78.41,60,55,71,38,40
140000118,2015,Normandie,28,CENTRE HOSPITALIER DE FALAISE,CH,Oui,Pas de contrôle,Pas de contrôle,94.28,96.75,91.82,60,96.36,99,87,55
140000159,2015,Normandie,28,CENTRE HOSPITALIER DE VIRE,CH,Oui,Pas de contrôle,Pas de contrôle,84.67,87.99,81.35,60,20.34,33,11,59
140000290,2015,Normandie,28,CLINIQUE NOTRE-DAME (VIRE),Privé,Oui,Pas de contrôle,Pas de contrôle,94.02,96.07,91.98,60,96.55,99,88,58
140000555,2015,Normandie,28,CENTRE DE LUTTE CONTRE LE CANCER - FRANÇOIS BACLES,CLCC,Oui,Pas de contrôle,Pas de contrôle,96.41,98.03,94.79,60,96.43,99,88,56
140002452,2015,Normandie,28,CLINIQUE MISERICORDE- CAEN,ESPIC/EBNL,Oui,Pas de contrôle,Pas de contrôle,91.91,94.53,89.3,60,81.82,98,48,11
140016759,2015,Normandie,28,POLYCLINIQUE DU PARC,Privé,Oui,Pas de contrôle,Pas de contrôle,77.84,81.54,74.14,59,7.32,20,1,41
140017237,2015,Normandie,28,CHP ST MARTIN CAEN,Privé,Oui,Pas de contrôle,Pas de contrôle,92.01,94.5,89.51,60,96.23,99,87,53
140018730,2015,Normandie,28,POLYCLINIQUE DE LISIEUX,Privé,Oui,Pas de contrôle,Pas de contrôle,77.49,81.05,73.93,60,66.67,78,53,60
140026279,2015,Normandie,28,CENTRE HOSPITALIER DE LA CÔTE FLEURIE,CH,Oui,Pas de contrôle,Pas de contrôle,48.89,,,17,,,,0
140026709,2015,Normandie,28,POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF,Privé,Oui,Pas de contrôle,Pas de contrôle,81.99,85.06,78.92,52,86.54,94,74,52
150780088,2015,Auvergne-Rhône-Alpes,84,CENTRE HOSPITALIER ST-FLOUR,CH,Oui,Pas de contrôle,Pas de contrôle,86.24,89.47,83.01,60,77.55,88,63,49
150780096,2015,Auvergne-Rhône-Alpes,84,C.H. HENRI MONDOR AURILLAC,CH,Oui,Pas de contrôle,Pas de contrôle,68,71.69,64.31,60,71.43,83,57,49
150780732,2015,Auvergne-Rhône-Alpes,84,C MC - AURILLAC,Privé,Oui,Pas de contrôle,Pas de contrôle,90.32,92.29,88.35,60,93.33,98,84,60
160000170,2015,Nouvelle Aquitaine,75,CLINIQUE SAINT JOSEPH S.A.,Privé,Oui,Pas de contrôle,Pas de contrôle,92.4,93.75,91.04,60,98.31,99,91,59
160000279,2015,Nouvelle Aquitaine,75,CLINIQUE DE COGNAC,Privé,Oui,Pas de contrôle,Pas de contrôle,80.13,82.22,78.03,60,76.67,87,64,60
160000451,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER  ANGOULEME,CH,Oui,Pas de contrôle,Pas de contrôle,88.71,91.41,86,60,90.91,97,80,55
160000493,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER DE RUFFEC,CH,Oui,Recueil Validé,Recueil Validé,63.75,,,18,94.44,99,73,18
160006037,2015,Nouvelle Aquitaine,75,C. H. HOPITAUX DU SUD CHARENTE,CH,Oui,Recueil Validé,Recueil Validé,90.72,93.9,87.55,60,66.67,78,53,60
160013207,2015,Nouvelle Aquitaine,75,CENTRE CLINICAL,Privé,Oui,Pas de contrôle,Pas de contrôle,92.94,95.09,90.78,60,100,100,100,47
160014411,2015,Nouvelle Aquitaine,75,CTRE HOSP INTERCOMM DU PAYS DE COGNAC,CH,Oui,Pas de contrôle,Pas de contrôle,74.59,77.96,71.22,60,14.81,34,4,27
170024194,2015,Nouvelle Aquitaine,75,GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS,CH,Oui,Pas de contrôle,Pas de contrôle,96.96,98.56,95.37,60,64.71,78,50,51
170780050,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER DE JONZAC,CH,Oui,Recueil Validé,Recueil Validé,88.52,91.91,85.13,60,59.65,72,46,57
170780167,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER DE SAINT-JEAN-D'ANGELY,CH,Oui,Pas de contrôle,Pas de contrôle,91.16,93.59,88.73,60,30.43,46,18,46
170780175,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER  DE SAINTES (ST LOUIS),CH,Oui,Pas de contrôle,Pas de contrôle,91.35,94.51,88.18,60,62.5,76,47,48
170780191,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER DE ROYAN,CH,Oui,Pas de contrôle,Pas de contrôle,82.62,83.67,81.56,60,71.19,82,58,59
170780225,2015,Nouvelle Aquitaine,75,C. H. ROCHEFORT-SUR-MER,CH,Oui,Pas de contrôle,Pas de contrôle,92.55,94.64,90.46,60,95.65,99,85,46
170780563,2015,Nouvelle Aquitaine,75,CLINIQUE PASTEUR,Privé,Oui,Pas de contrôle,Pas de contrôle,71.2,72.99,69.4,60,100,100,100,60
170780613,2015,Nouvelle Aquitaine,75,SA CLINIQUE DU MAIL,Privé,Oui,Pas de contrôle,Pas de contrôle,85.59,86.99,84.19,60,100,100,100,52
170780621,2015,Nouvelle Aquitaine,75,POLYCLINIQUE SAINT-GEORGES,Privé,Oui,Pas de contrôle,Pas de contrôle,93.8,95.78,91.82,60,96.67,99,88,60
170780647,2015,Nouvelle Aquitaine,75,SA CLINIQUE  RICHELIEU,Privé,Oui,Recueil Validé,Recueil Validé,91.61,93.63,89.59,60,69.64,81,56,56
170780662,2015,Nouvelle Aquitaine,75,CENTRE MEDICO-CHIRURGICAL DE L'ATLANTIQUE,Privé,Oui,Pas de contrôle,Pas de contrôle,79.58,82.06,77.1,60,95.74,99,85,47
180000028,2015,Centre-Val de Loire,24,C. H. J. COEUR  BOURGES,CH,Oui,Pas de contrôle,Pas de contrôle,89.97,92.27,87.66,60,14.55,27,6,55
180000051,2015,Centre-Val de Loire,24,C. H. VIERZON,CH,Oui,Pas de contrôle,Pas de contrôle,69.24,72.26,66.22,60,37.25,52,24,51
180000069,2015,Centre-Val de Loire,24,C. H. ST AMAND MONTROND,CH,Oui,Pas de contrôle,Pas de contrôle,84.88,88.49,81.28,60,95.83,99,79,24
180000358,2015,Centre-Val de Loire,24,CLINIQUE DES GRAINETIERES,Privé,Oui,Pas de contrôle,Pas de contrôle,96.5,98.08,94.91,60,91.38,97,81,58
180004145,2015,Centre-Val de Loire,24,HOPITAL PRIVE GUILLAUME DE VARYE,Privé,Oui,Pas de contrôle,Pas de contrôle,82.99,86.74,79.23,60,92.16,98,81,51
190000042,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER  BRIVE,CH,Oui,Pas de contrôle,Pas de contrôle,88.26,90.9,85.62,60,73.33,85,58,45
190000059,2015,Nouvelle Aquitaine,75,CENTRE HOSPITALIER  TULLE,CH,Oui,Pas de contrôle,Pas de contrôle,76.66,80.54,72.78,60,93.75,99,83,48
