raison_sociale;libelle_region;cat;finess;Sources;tdp_c_den_etbt;tdp_c_etbt;tdp_c_icbas_etbt;tdp_c_ichaut_etbt;dec_c_den_etbt;dec_c_etbt;dec_c_icbas_etbt;dec_c_ichaut_etbt;trd_c_den_etbt;trd_c_etbt;trd_c_icbas_etbt;trd_c_ichaut_etbt;dtn1_c1_den_etbt;dtn1_c1_etbt;dtn1_c1_icbas_etbt;dtn1_c1_ichaut_etbt
CH. GLETEINS  JASSANS-RIOTTIER;Rhône Alpes;Privé;010780708;2013;80;82.31;80.83;83.79;80;62.5;51;73;80;67.5;56;78;80;97.5;91;99
C.R.F. CHATEAU D'ANGEVILLE;Rhône Alpes;ESPIC/EBNL;010780799;2013;80;88.41;86.44;90.38;80;52.5;41;64;80;100;100;100;80;71.25;60;81
CTRE HOSP DE GUISE;Picardie;CH;020000022;2013;80;71.82;68.93;74.71;80;93.75;86;98;80;96.25;89;99;80;91.25;83;97
CTRE HOSP GERONTOLOGIQUE;Picardie;CH;020000048;2013;80;80.57;77.94;83.2;72;95.83;88;99;80;82.5;72;90;80;71.25;60;81
CTRE  HOSP DE SAINT QUENTIN;Picardie;CH;020000063;2013;80;71.67;68.05;75.3;78;66.67;55;77;80;76.25;65;85;80;66.25;55;76
HOPITAL - MAISON DE RETRAITE;Picardie;CH;020000071;2013;76;34.29;31.84;36.75;71;39.44;28;52;76;6.58;2;15;74;63.51;51;74
CTRE HOSP DE LAON;Picardie;CH;020000253;2013;80;95.45;93.77;97.13;80;95;88;99;80;86.25;77;93;80;97.5;91;99
CTRE HOSP DE SOISSONS;Picardie;CH;020000261;2013;80;94.28;93.08;95.48;80;78.75;68;87;80;97.5;91;99;80;100;100;100
CENTRE HOSPITALIER DE CHAUNY;Picardie;CH;020000287;2013;80;85.92;83.59;88.26;62;74.19;61;85;80;50;39;61;79;68.35;57;78
LA RENAISSANCE SANITAIRE;Picardie;ESPIC/EBNL;020000303;2013;78;93.83;92.22;95.44;75;89.33;80;95;78;92.31;84;97;77;98.7;93;99
CRF JACQUES FICHEUX;Picardie;CH;020003620;2013;80;79.71;77.72;81.71;80;91.25;83;97;80;100;100;100;80;87.5;78;94
CTRE HOSPITALIER BRISSET HIRSON;Picardie;CH;020004495;2013;80;95.82;94.58;97.06;80;100;100;100;80;100;100;100;80;93.75;86;98
HOPITAL COEUR DU BOURBONNAIS;Auvergne;CH;030002158;2013;80;62.93;60.57;65.3;80;67.5;56;78;80;41.25;30;53;80;92.5;84;97
HOPITAL DE NERIS LES BAINS;Auvergne;CH;030180020;2013;80;84.38;82.67;86.09;80;91.25;83;97;80;91.25;83;97;80;98.75;93;99
CTRE HOSPITALIER MOULINS YZEURE;Auvergne;CH;030780092;2013;79;71.92;69.62;74.22;77;98.7;93;99;79;87.34;78;94;78;96.15;89;99
CENTRE HOSPITALIER MONTLUCON;Auvergne;CH;030780100;2013;80;61.82;58.53;65.11;80;70;59;80;80;93.75;86;98;80;90;81;96
CENTRE HOSPITALIER VICHY;Auvergne;CH;030780118;2013;80;87.6;85.64;89.55;63;96.83;89;99;80;86.25;77;93;80;83.75;74;91
HOPITAL LOCAL DE BOURBON L'ARCHAMBAULT;Auvergne;CH;030780126;2013;80;83.45;80.92;85.99;80;75;64;84;80;91.25;83;97;80;86.25;77;93
POLYCL PERGOLA - VICHY;Auvergne;Privé;030780548;2013;80;78.64;76.24;81.03;80;90;81;96;80;100;100;100;80;83.75;74;91
CL ST-FRANC ST ANT -DESERTINE;Auvergne;Privé;030781116;2013;80;78.19;74.89;81.49;80;92.5;84;97;80;100;100;100;80;93.75;86;98
HL FORCALQUIER;PACA;CH;040780181;2013;80;84.56;82.99;86.13;80;91.25;83;97;80;98.75;93;99;80;77.5;67;86
CLINIQUE MEDICALE JEAN GIONO;PACA;Privé;040780389;2013;80;91.54;89.19;93.88;76;89.47;80;95;80;100;100;100;76;73.68;62;83
CENTRE DES CARMES;PACA;Privé;040780405;2013;80;83.92;81.43;86.41;80;90;81;96;80;33.75;24;45;80;76.25;65;85
CRRF L'EAU VIVE;PACA;Privé;040780488;2013;80;90.02;88.64;91.4;80;88.75;80;95;80;97.5;91;99;80;36.25;26;48
MAISON DE REPOS LE VERDON;PACA;Privé;040780520;2013;80;75.01;73.31;76.71;80;72.5;61;82;80;75;64;84;80;96.25;89;99
CENTRE LE COUSSON;PACA;ESPIC/EBNL;040782021;2013;80;95.95;94.61;97.3;80;93.75;86;98;80;86.25;77;93;80;97.5;91;99
CENTRE RHONE - AZUR BRIANCON;PACA;ESPIC/EBNL;050000041;2013;80;96.54;95.65;97.42;80;56.25;45;67;80;93.75;86;98;80;95;88;99
CTRE MED RIO VERT;PACA;ESPIC/EBNL;050000058;2013;80;81.91;79.66;84.15;80;93.75;86;98;80;88.75;80;95;80;83.75;74;91
CENTRE MEDICAL LA SOURCE;PACA;Privé;050000066;2013;80;98.55;97.83;99.27;80;97.5;91;99;80;98.75;93;99;80;100;100;100
CH D'EMBRUN;PACA;CH;050000124;2013;73;81.5;78.61;84.38;64;92.19;83;98;73;79.45;68;88;70;97.14;90;99
CENTRE DE CURE LES ACACIAS;PACA;Privé;050000488;2013;80;99.13;98.54;99.73;80;66.25;55;76;80;100;100;100;80;98.75;93;99
CTRE MED. D'ALTITUDE MONTJOY;PACA;Privé;050000637;2013;80;78.56;77.02;80.09;80;85;75;92;80;97.5;91;99;80;93.75;86;98
CENTRE MEDICAL CHANT'OURS;PACA;ESPIC/EBNL;050000991;2013;80;81.45;79.42;83.47;80;51.25;40;63;80;67.5;56;78;80;91.25;83;97
LA DURANCE;PACA;ESPIC/EBNL;050001064;2013;80;96.06;94.49;97.62;80;100;100;100;80;97.5;91;99;80;93.75;86;98
CTRE RHONE AZUR-GAP;PACA;ESPIC/EBNL;050002351;2013;80;100;100;100;80;97.5;91;99;80;100;100;100;80;85;75;92
CHICAS GAP-SISTERON;PACA;CH;050002948;2013;80;78.57;74.57;82.58;80;50;39;61;80;72.5;61;82;80;46.25;35;58
LA MAISON DU MINEUR;PACA;ESPIC/EBNL;060000296;2013;80;76.44;74.92;77.97;80;100;100;100;80;80;70;88;80;75;64;84
OLIVERAIE DES CAYRONS;PACA;Privé;060005469;2013;80;97.01;96.14;97.88;80;98.75;93;99;80;96.25;89;99;80;100;100;100
SSR CLINICA JOURDAN SITE CLINIQUE WILSON;PACA;Privé;060010188;2013;80;80.05;77.84;82.26;80;92.5;84;97;80;60;48;71;80;90;81;96
ATLANTIS;PACA;Privé;060021201;2013;80;98.93;98.35;99.52;80;100;100;100;80;93.75;86;98;80;100;100;100
CENTRE ST DOMINIQUE;PACA;Privé;060780145;2013;80;93.56;92.26;94.86;80;100;100;100;80;96.25;89;99;80;90;81;96
MAISON DE CONV LAURIERS ROSES;PACA;ESPIC/EBNL;060780186;2013;80;88.17;86.88;89.47;80;82.5;72;90;80;95;88;99;80;93.75;86;98
MAISON DE REPOS STE BRIGITTE;PACA;Privé;060780277;2013;80;90.54;88.12;92.95;80;83.75;74;91;80;100;100;100;80;97.5;91;99
MAIS.CONV.L'ENSOLEILLEE;PACA;Privé;060780343;2013;80;92.69;91.53;93.86;80;100;100;100;80;100;100;100;80;91.25;83;97
MAISON DE REPOS LA PINEDE;PACA;Privé;060780350;2013;80;82.06;79.35;84.76;80;77.5;67;86;80;91.25;83;97;80;92.5;84;97
CENTRE CONVAL.MONTSINERY;PACA;Privé;060780392;2013;80;96.42;95.1;97.73;80;97.5;91;99;80;96.25;89;99;80;75;64;84
CL ORSAC MONTFLEURI;PACA;ESPIC/EBNL;060780459;2013;80;83.63;81.06;86.2;80;80;70;88;80;85;75;92;80;68.75;57;79
LES CADRANS SOLAIRES;PACA;ESPIC/EBNL;060780558;2013;55;88.33;85.34;91.31;55;72.73;59;84;55;87.27;75;95;6;66.67;;
CLINIQUE LE MERIDIEN;PACA;Privé;060780665;2013;80;94.78;93.14;96.41;80;93.75;86;98;80;95;88;99;80;80;70;88
CLINIQUE SAINT LUC;PACA;Privé;060780749;2013;80;92.79;91.06;94.51;80;88.75;80;95;80;50;39;61;80;66.25;55;76
CTRE PNEUMO GORBIO;PACA;CH;060780814;2013;80;86.6;83.23;89.97;80;72.5;61;82;80;100;100;100;80;82.5;72;90
CH DE GRASSE;PACA;CH;060780897;2013;73;97.76;96.89;98.63;61;98.36;91;99;73;100;100;100;67;80.6;69;89
C.H ANTIBES-JUAN LES PINS;PACA;CH;060780954;2013;80;66.47;63.45;69.5;80;52.5;41;64;80;95;88;99;80;95;88;99
INSTITUT POLYCLINIQUE DE CANNES;PACA;Privé;060781374;2013;80;93.49;91.29;95.69;80;72.5;61;82;80;96.25;89;99;80;96.25;89;99
C.H.U.  DE  NICE;PACA;CHU;060785011;2013;80;81.21;79.13;83.28;80;93.75;86;98;80;82.5;72;90;80;85;75;92
MAISON CONVALESCENCE ST BASILE;PACA;Privé;060785227;2013;80;92.35;90.53;94.16;80;93.75;86;98;80;97.5;91;99;80;92.5;84;97
CTRE HELIO MARIN VALLAURIS;PACA;ESPIC/EBNL;060789674;2013;80;85.38;84.23;86.54;80;97.5;91;99;80;85;75;92;80;66.25;55;76
CLINIQUE MEDICALE LE CALME;PACA;Privé;060790862;2013;80;98.56;97.75;99.37;80;75;64;84;80;93.75;86;98;80;88.75;80;95
CH LA PALMOSA MENTON;PACA;CH;060791761;2013;80;92.28;91.11;93.45;80;100;100;100;80;95;88;99;80;98.75;93;99
CLINIQUE LES SOURCES;PACA;ESPIC/EBNL;060791811;2013;80;88.96;87.31;90.61;80;97.5;91;99;80;93.75;86;98;80;97.5;91;99
MAISON CONVALESCENCE LA SERENA;PACA;Privé;060798881;2013;80;100;100;100;80;100;100;100;80;100;100;100;80;97.5;91;99
UNITE DIETETIQUE COTE D AZUR;PACA;Privé;060800182;2013;79;92.38;90.67;94.09;77;98.7;93;99;79;67.09;56;77;78;93.59;86;98
MAISON  CONVALESCENCE MAGNOLIAS;PACA;Privé;060800687;2013;80;97.11;96.05;98.16;80;98.75;93;99;80;100;100;100;80;83.75;74;91
HOPITAL DE MOZE;Rhône Alpes;ESPIC/EBNL;070000096;2013;74;74;71.38;76.61;63;58.73;46;71;74;50;38;62;72;56.94;45;69
HOPITAL LOCAL SERRIERES;Rhône Alpes;CH;070000211;2013;80;98.54;97.87;99.21;80;100;100;100;80;100;100;100;80;97.5;91;99
CENTRE HOSPITALIER DES VALS D'ARDECHE;Rhône Alpes;CH;070002878;2013;65;67.58;65.59;69.57;58;82.76;71;91;65;86.15;75;94;65;67.69;55;79
HOPITAL LOCAL DE LARGENTIERE;Rhône Alpes;CH;070004742;2013;77;78.7;75.23;82.18;72;93.06;84;98;77;79.22;68;88;76;85.53;76;93
HL INTCOM BOURG ST ANDEOL VIVIERS;Rhône Alpes;CH;070005558;2013;72;85.42;82.28;88.56;67;56.72;44;69;72;100;100;100;72;81.94;71;90
CH D'ARDECHE MERIDIONALE;Rhône Alpes;CH;070005566;2013;80;77.61;75.45;79.78;80;82.5;72;90;80;67.5;56;78;80;88.75;80;95
HOPITAL LOCAL VALLON PT D'ARC;Rhône Alpes;CH;070780119;2013;52;83.49;80.77;86.22;45;73.33;58;85;52;100;100;100;49;77.55;63;88
HOPITAL LOCAL VILLENEUVE DE BERG;Rhône Alpes;CH;070780127;2013;80;75.26;72.9;77.61;80;57.5;46;69;80;46.25;35;58;80;58.75;47;70
HOPITAL LOCAL DU CHEYLARD;Rhône Alpes;CH;070780150;2013;48;49.03;45.85;52.2;43;2.33;0;12;48;97.92;89;99;47;31.91;19;47
CENTRE RÉÉDUCATION RESPIRATOIRE DE FOLCHERAN;Rhône Alpes;ESPIC/EBNL;070780226;2013;80;97.78;97.01;98.55;80;90;81;96;80;95;88;99;80;96.25;89;99
CENTRE SSR LE CHATEAU;Rhône Alpes;ESPIC/EBNL;070780234;2013;80;90.27;89.08;91.46;80;97.5;91;99;80;30;20;41;80;57.5;46;69
LA CONDAMINE - SARL CHAPUIS FERNANDE;Rhône Alpes;Privé;070780242;2013;80;58.3;56.6;60.01;80;82.5;72;90;80;61.25;50;72;80;56.25;45;67
CH D'ARDECHE NORD;Rhône Alpes;CH;070780358;2013;80;90.99;89.22;92.77;80;88.75;80;95;80;98.75;93;99;80;92.5;84;97
HOPITAL LOCAL LAMASTRE;Rhône Alpes;CH;070780366;2013;80;84.52;82.42;86.62;80;63.75;52;74;80;90;81;96;80;86.25;77;93
HOPITAL LOCAL DE TOURNON;Rhône Alpes;CH;070780374;2013;75;93.25;91.38;95.12;71;97.18;90;99;75;98.67;93;99;75;96;89;99
HOPITAL LOCAL DE ST FELICIEN;Rhône Alpes;CH;070780382;2013;80;68.38;66.67;70.09;80;15;8;25;80;72.5;61;82;80;86.25;77;93
CENTRE DE POSTCURE VIRAC;Rhône Alpes;ESPIC/EBNL;070784897;2013;60;93.23;90.57;95.89;60;71.67;59;83;60;96.67;88;99;60;98.33;91;99
CENTRE HOSPITALIER DE SEDAN;Champagne Ardenne;CH;080000037;2013;80;85.46;83.09;87.84;73;97.26;90;99;80;97.5;91;99;80;95;88;99
CH BELAIR;Champagne Ardenne;CH;080000086;2013;27;68.38;;;27;29.63;14;50;27;62.96;42;81;27;100;100;100
CRF POUR ADULTES;Champagne Ardenne;ESPIC/EBNL;080000250;2013;80;91.04;89.15;92.93;80;76.25;65;85;80;86.25;77;93;80;77.5;67;86
MRC SAINT JULIEN;Champagne Ardenne;ESPIC/EBNL;080000268;2013;70;85.91;84.12;87.69;69;8.7;3;18;70;87.14;77;94;69;98.55;92;99
GROUPE HOSPITALIER SUD ARDENNES;Champagne Ardenne;CH;080001969;2013;80;91.44;89.52;93.36;80;67.5;56;78;80;97.5;91;99;80;66.25;55;76
HOPITAL AX-LES-THERMES;Midi Pyrénées;CH;090180019;2013;80;58.89;56.51;61.26;80;88.75;80;95;80;77.5;67;86;80;56.25;45;67
CH LAVELANET;Midi Pyrénées;CH;090780107;2013;80;81.32;79.5;83.15;75;100;100;100;80;90;81;96;80;87.5;78;94
C H I DU VAL D ARIEGE;Midi Pyrénées;CH;090781774;2013;80;85.95;83.85;88.06;80;95;88;99;80;98.75;93;99;80;87.5;78;94
CH ARIEGE COUSERANS;Midi Pyrénées;CH;090781816;2013;80;89.58;88.08;91.09;80;98.75;93;99;80;96.25;89;99;80;92.5;84;97
CENTRE HOSPITALIER DE TROYES;Champagne Ardenne;CH;100000017;2013;80;90.99;88.72;93.26;80;100;100;100;80;98.75;93;99;80;91.25;83;97
GROUPEMENT HOSPITALIER AUBE MARNE (GHAM);Champagne Ardenne;CH;100006279;2013;80;80.3;76.85;83.76;80;77.5;67;86;80;83.75;74;91;80;96.25;89;99
CENTRE DE RÉÉDUCATION PASTEUR;Champagne Ardenne;Privé;100009083;2013;80;91.44;89.35;93.54;80;85;75;92;80;65;53;75;80;51.25;40;63
CLINIQUE DU SUD;Languedoc Roussillon;Privé;110003118;2013;80;80.57;78.13;83.01;80;96.25;89;99;80;98.75;93;99;80;78.75;68;87
LES 4 FONTAINES;Languedoc Roussillon;Privé;110004942;2013;80;92.25;90.13;94.37;80;92.5;84;97;80;97.5;91;99;80;95;88;99
CH CASTELNAUDARY;Languedoc Roussillon;CH;110780087;2013;80;84.85;83.68;86.02;80;97.5;91;99;80;68.75;57;79;80;95;88;99
CENTRE DE LORDAT;Languedoc Roussillon;ESPIC/EBNL;110780186;2013;80;89.59;87.4;91.78;80;85;75;92;80;100;100;100;80;91.25;83;97
CLINIQUE SOINS DE SUITE CHRISTINA;Languedoc Roussillon;Privé;110780194;2013;80;94.17;92.77;95.56;80;90;81;96;80;100;100;100;80;72.5;61;82
MAIS REPOS CONV CHT LA VERNEDE;Languedoc Roussillon;Privé;110780202;2013;80;92.59;90.67;94.51;80;83.75;74;91;80;72.5;61;82;80;78.75;68;87
POLYCLINIQUE LE LANGUEDOC;Languedoc Roussillon;Privé;110780228;2013;80;81.24;79.73;82.75;80;0;0;0;80;100;100;100;80;73.75;63;83
HL LIMOUX  QUILLAN;Languedoc Roussillon;CH;110780707;2013;80;84.49;81.09;87.88;80;87.5;78;94;80;100;100;100;80;90;81;96
CH  LEZIGNAN-CORBIERES;Languedoc Roussillon;CH;110780772;2013;80;83.63;81.75;85.51;80;98.75;93;99;80;46.25;35;58;80;100;100;100
CH FRANCIS VALS;Languedoc Roussillon;CH;110781010;2013;80;92.75;91.02;94.47;80;83.75;74;91;80;100;100;100;80;71.25;60;81
A.S.M.;Languedoc Roussillon;ESPIC/EBNL;110786324;2013;80;97.29;96.09;98.5;80;90;81;96;80;85;75;92;80;97.5;91;99
CENTRE HOSPITALIER DE MILLAU;Midi Pyrénées;CH;120004528;2013;80;97.67;96.75;98.59;80;97.5;91;99;80;100;100;100;80;100;100;100
CENTRE HOSPITALIER EMILE BOREL;Midi Pyrénées;CH;120004619;2013;80;84.12;82.12;86.11;80;96.25;89;99;80;97.5;91;99;80;95;88;99
CH RODEZ;Midi Pyrénées;CH;120780044;2013;79;76.51;74.61;78.41;66;98.48;92;99;79;75.95;65;85;78;92.31;84;97
CH VILLEFRANCHE-DE-ROUERGUE;Midi Pyrénées;CH;120780069;2013;80;68.08;65.11;71.04;80;61.25;50;72;80;61.25;50;72;80;80;70;88
CH DECAZEVILLE;Midi Pyrénées;CH;120780085;2013;80;72.92;71.6;74.24;78;84.62;75;92;80;100;100;100;80;91.25;83;97
HOPITAL ST-GENIEZ- D'OLT;Midi Pyrénées;CH;120780093;2013;58;76.16;72.99;79.33;52;71.15;57;83;58;39.66;27;53;53;92.45;82;98
HOPITAL D'ESPALION;Midi Pyrénées;CH;120780101;2013;80;57.21;53.92;60.5;80;78.75;68;87;80;62.5;51;73;80;58.75;47;70
CENTRE S.S.R. LA CLAUZE;Midi Pyrénées;ESPIC/EBNL;120780135;2013;80;90.2;88.14;92.26;80;68.75;57;79;80;100;100;100;80;97.5;91;99
MAISON DE CONVALESCENCE ET REPOS  LES TILLEULS;Midi Pyrénées;Privé;120780143;2013;80;81.37;79.06;83.68;80;66.25;55;76;80;81.25;71;89;80;97.5;91;99
CENTRE MEDICAL MAURICE FENAILLE;Midi Pyrénées;CH;120780291;2013;80;97;96.01;97.99;80;100;100;100;80;91.25;83;97;80;92.5;84;97
HOPITAL LOCAL DU VALLON SALLES LA SOURCE;Midi Pyrénées;CH;120780481;2013;80;80.68;78.54;82.83;80;72.5;61;82;80;87.5;78;94;80;83.75;74;91
CH MONTOLIVET;PACA;CH;130001928;2013;80;89.2;86.92;91.48;80;85;75;92;80;76.25;65;85;80;62.5;51;73
CLINIQUE MEDICALE JEAN PAOLI;PACA;ESPIC/EBNL;130002694;2013;80;67.31;65.5;69.12;80;65;53;75;80;100;100;100;80;100;100;100
HOPITAUX DES PORTES DE CAMARGUE;PACA;CH;130028228;2013;80;76.9;72.02;81.78;80;61.25;50;72;80;76.25;65;85;80;50;39;61
CENTRE MEDICAL DES ALPILLES;PACA;Privé;130035793;2013;80;97.78;96.84;98.72;80;92.5;84;97;80;100;100;100;80;65;53;75
CH DU PAYS D'AIX CHI AIX PERTUIS;PACA;CH;130041916;2013;80;70.58;65.59;75.57;74;85.14;75;92;80;56.25;45;67;80;71.25;60;81
CHATEAU-GOMBERT CONVALESCENCE (EX DURANTE);PACA;Privé;130780083;2013;80;82.64;80.05;85.24;80;67.5;56;78;80;98.75;93;99;80;90;81;96
CH D'ALLAUCH;PACA;CH;130781339;2013;80;79.89;76.96;82.82;77;80.52;70;89;80;82.5;72;90;80;31.25;21;43
CLINIQUE DE PROVENCE BOURBONNE;PACA;Privé;130781438;2013;80;94.76;93.44;96.09;80;86.25;77;93;80;98.75;93;99;80;98.75;93;99
CH D'AUBAGNE;PACA;CH;130781446;2013;68;71.51;68.74;74.29;52;82.69;70;92;68;76.47;65;86;65;78.46;66;88
CLINIQUE LA CASAMANCE;PACA;Privé;130781479;2013;80;83.01;80.49;85.54;80;63.75;52;74;80;100;100;100;80;68.75;57;79
M.REGIME/ CONVAL.LES PALMIERS;PACA;Privé;130781768;2013;80;98.93;98.33;99.52;80;98.75;93;99;80;97.5;91;99;80;100;100;100
CRF NOTRE DAME DE BON VOYAGE;PACA;Privé;130781834;2013;64;92.55;90.59;94.51;64;85.94;75;93;64;100;100;100;64;100;100;100
CENTRE MEDICAL PROVENCE AZUR;PACA;Privé;130781917;2013;78;98.61;97.59;99.63;78;71.79;60;81;78;75.64;65;85;78;100;100;100
CENTRE CARDIO-VASCUL. N.-DAME;PACA;Privé;130781925;2013;80;93.75;92.18;95.32;80;96.25;89;99;80;90;81;96;80;31.25;21;43
CLINIQUE DE L'ETANG DE L'OLIVIER;PACA;Privé;130782071;2013;80;80.22;77.95;82.49;80;30;20;41;80;95;88;99;80;95;88;99
CTRE DE CONVALESCENCE SIBOURG;PACA;Privé;130782097;2013;80;92.6;90.79;94.4;80;93.75;86;98;80;80;70;88;80;93.75;86;98
CTRE CONVALESC. LE COLOMBIER;PACA;Privé;130782303;2013;80;97.48;96.45;98.52;80;96.25;89;99;80;100;100;100;80;88.75;80;95
CLIN DE SOINS DE SUITE CHATEAU FLORANS;PACA;Privé;130782444;2013;80;95.18;93.45;96.91;80;91.25;83;97;80;82.5;72;90;80;83.75;74;91
CENTRE LE MEDITERRANEE;PACA;Privé;130782451;2013;80;98.94;98.2;99.69;80;72.5;61;82;80;92.5;84;97;80;97.5;91;99
CTRE DE DIETETIQUE ST-LAURENT;PACA;Privé;130782493;2013;80;92.25;91.51;92.99;80;90;81;96;80;37.5;27;49;80;100;100;100
CH DE SALON;PACA;CH;130782634;2013;80;75.64;73.41;77.87;80;100;100;100;80;97.5;91;99;80;97.5;91;99
CLINIQUE SPEC. STE ELISABETH;PACA;ESPIC/EBNL;130783152;2013;80;87.03;84.3;89.77;60;63.33;50;75;80;100;100;100;31;25.81;12;45
MAISON DE REPOS ET CONV. L'ANGELUS;PACA;ESPIC/EBNL;130783475;2013;80;85.1;82.33;87.88;72;59.72;47;71;80;100;100;100;72;80.56;69;89
CLINIQUE DE LA POINTE ROUGE;PACA;Privé;130783830;2013;80;90.58;88.61;92.54;80;96.25;89;99;80;77.5;67;86;80;93.75;86;98
C.R.R.F. ROSEMOND;PACA;Privé;130783871;2013;80;89.29;87.24;91.35;80;98.75;93;99;80;100;100;100;80;83.75;74;91
POLYCLINIQUE CLAIRVAL;PACA;Privé;130784051;2013;80;82.24;78.83;85.66;80;68.75;57;79;80;100;100;100;80;80;70;88
HOPITAL SUD (STE MARGUERITE);PACA;CHU;130784234;2013;80;94.58;93.25;95.92;80;91.25;83;97;80;100;100;100;80;92.5;84;97
CLIN.CARDIO-VASC.LA PROVENCALE;PACA;Privé;130784580;2013;80;88;83.7;92.29;80;86.25;77;93;80;82.5;72;90;80;86.25;77;93
CLINIQUE SPECIALISEE ST-MARTIN;PACA;Privé;130784598;2013;80;76.35;73.77;78.93;80;83.75;74;91;80;65;53;75;80;17.5;10;28
CLINIQUE SAINT BARNABE;PACA;Privé;130784812;2013;80;87.4;85.33;89.46;80;83.75;74;91;80;96.25;89;99;80;96.25;89;99
CL. MED.-CHIRURG. LA PHOCEANNE;PACA;Privé;130784903;2013;80;85.19;83.63;86.75;80;98.75;93;99;80;98.75;93;99;80;91.25;83;97
CLINIQUE DE SOINS DE SUITE LA SALETTE;PACA;Privé;130784911;2013;80;86.77;84.14;89.4;80;82.5;72;90;80;67.5;56;78;80;73.75;63;83
MAISON DE REPOS ET CONV. FERNANDE BERGER;PACA;ESPIC/EBNL;130784952;2013;80;92.2;90.54;93.87;80;78.75;68;87;80;97.5;91;99;80;97.5;91;99
CLINIQUE CHANTECLER;PACA;Privé;130785389;2013;80;93.45;92.04;94.85;80;82.5;72;90;80;100;100;100;80;71.25;60;81
CLINIQUE LA CHENAIE;PACA;Privé;130785462;2013;80;82.18;80.59;83.77;80;38.75;28;50;80;100;100;100;80;95;88;99
CTRE GERONTOLOGIE LES OLIVIERS;PACA;Privé;130785975;2013;80;87.97;85.79;90.16;80;66.25;55;76;80;60;48;71;80;85;75;92
CENTRE SAINT-CHRISTOPHE;PACA;Privé;130785983;2013;80;93.54;91.9;95.19;80;90;81;96;80;92.5;84;97;80;90;81;96
CLINIQUE SAINT-BRUNO;PACA;Privé;130786023;2013;80;75.66;73.37;77.94;80;47.5;36;59;80;96.25;89;99;80;35;25;47
CTRE DE GERONTOLOG. LA PAGERIE;PACA;Privé;130786296;2013;80;56.83;53.26;60.39;80;51.25;40;63;80;65;53;75;80;65;53;75
HÔPITAL D'INSTRUCTION DES ARMÉES LAVERAN;Service de santé des armées;CH;130786742;2013;38;74.09;70.31;77.87;36;83.33;67;94;38;100;100;100;38;94.74;82;99
CTRE REEDUC. FONCT.  VALMANTE;PACA;ESPIC/EBNL;130786924;2013;80;74.19;71.55;76.83;80;45;34;57;80;31.25;21;43;80;57.5;46;69
