finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;PACA;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
040780470;CLINIQUE DE TOUTES AURES;040780470;CLINIQUE TOUTES AURES;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
050000116;CENTRE HOSPITALIER LES ESCARTONS;050000231;CH DES ESCARTONS DE BRIANCON;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
050000124;CENTRE HOSPITALIER D''EMBRUN;050000256;CENTRE HOSPITALIER D'EMBRUN;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;050000348;CHI DES ALPES DU SUD SITE DE GAP;PACA;1- Obligatoire;1- Oui;153;70.92;C;3-Amélioration;153;68.53;153;79.57;153;76.08;153;71.22;153;56.36;153;61.76
060780897;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE;PACA;1- Obligatoire;1- Oui;124;71.96;C;2-Stable;124;72.61;124;79.17;124;77.35;124;71.3;124;56.05;124;62.57
060780905;CENTRE HOSPITALIER SAINT ELOI DE SOSPEL;060000486;CH SAINT ELOI DE SOSPEL;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060780954;CENTRE HOSPITALIER D''ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060000528;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE;PACA;1- Obligatoire;1- Oui;171;75.07;B;2-Stable;171;73.93;171;83.16;171;82.71;171;75.15;171;57.18;171;65.15
060780988;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;060000544;CH PIERRE NOUVEAU CANNES;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060791761;CENTRE HOSPITALIER LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON;PACA;1- Obligatoire;1- Oui;30;71.52;C;4-Non calculable;30;73.19;30;76.18;30;78.11;30;76.79;30;58;30;58.73
060021417;HOPITAL PRIVE CANNES OXFORD;060021417;HOPITAL PRIVE CANNES OXFORD;PACA;1- Obligatoire;1- Oui;111;76.1;B;4-Non calculable;111;74.09;111;84.21;111;83.84;111;81.63;111;49.1;111;66.66
060780442;CLINIQUE SAINT FRANCOIS;060780442;CLINIQUE SAINT FRANCOIS;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060780491;INSTITUT ARNAULT TZANCK;060780491;INSTITUT ARNAULT TZANCK;PACA;1- Obligatoire;1- Oui;317;74.33;B;2-Stable;317;78.13;317;80.23;317;79.39;317;75.69;317;58.31;317;61.5
060780517;POLYCLINIQUE SAINT JEAN;060780517;POLYCLINIQUE SAINT JEAN;PACA;1- Obligatoire;1- Oui;374;74.96;B;3-Amélioration;374;72.33;374;81.98;374;82.55;374;78.07;374;58.88;374;64.74
060780590;CLINIQUE DU PALAIS;060780590;CLINIQUE DU PALAIS;PACA;1- Obligatoire;1- Oui;52;76.72;B;1-Diminution;52;75.78;52;83.07;52;81.95;52;80.22;52;62.99;52;67.21
060780665;CLINIQUE DU MERIDIEN;060780665;CLINIQUE DU MERIDIEN;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060780715;CLINIQUE SAINT GEORGE;060780715;CLINIQUE SAINT GEORGE;PACA;1- Obligatoire;1- Oui;162;73.21;C;2-Stable;162;72.89;162;78.99;162;81.82;162;73.66;162;61.53;162;62.47
060780723;CLINIQUE DU PARC IMPERIAL;060780723;CLINIQUE DU PARC IMPERIAL;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
060780756;POLYCLINIQUE SANTA MARIA;060780756;POLYCLINIQUE SANTA MARIA;PACA;1- Obligatoire;1- Oui;272;69.84;D;2-Stable;272;68.82;272;76.91;272;80.25;272;67.21;272;56.58;272;57.6
060780947;HOPITAUX PEDIATRIQUES DE NICE CHU LENVAL;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;PACA;1- Obligatoire;1- Oui;143;66.21;D;2-Stable;143;61.82;143;74.89;143;72.48;143;67.41;143;54.06;143;56.02
060781200;CLINIQUE SAINT ANTOINE;060781200;CLINIQUE SAINT ANTOINE;PACA;1- Obligatoire;1- Oui;44;73.16;C;4-Non calculable;44;74.62;44;78.1;44;80.17;44;69.99;44;75.92;44;58.6
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;CHU DE NICE HOPITAL PASTEUR;PACA;1- Obligatoire;1- Oui;493;73.17;C;2-Stable;493;72.44;493;80.43;493;78.65;493;77.39;493;59.99;493;60.56
060785219;CLINIQUE PLEIN CIEL;060785219;CLINIQUE PLEIN CIEL;PACA;1- Obligatoire;1- Oui;44;73.05;C;2-Stable;44;75.36;44;80.08;44;79.34;44;77.45;44;57.39;44;56.58
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;CHU DE NICE HOPITAL DE L'ARCHET;PACA;1- Obligatoire;1- Oui;698;70.58;D;1-Diminution;698;70.03;698;78.59;698;77.78;698;67.84;698;56.97;698;61.05
060794013;CENTRE DE CARDIOLOGIE MEDICO CHIRURGICAL TZANCK;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;PACA;1- Obligatoire;1- Oui;191;73.13;C;2-Stable;191;77.77;191;80.28;191;79.82;191;76.21;191;59.51;191;55.57
060800166;CLINIQUE DE L''ESPERANCE;060800166;CLINIQUE DE L'ESPERANCE;PACA;1- Obligatoire;1- Oui;231;75.16;B;3-Amélioration;231;77.46;231;81.17;231;82.96;231;77.57;231;50.15;231;63.62
070002878;CH DES VALS D''ARDECHE;070000013;CH DES VALS D'ARDÈCHE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
070780358;CH D''ARDECHE NORD;070000179;CH D'ARDÈCHE NORD;Auvergne-Rhône-Alpes;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
070780374;CH DE TOURNON;070000195;HOPITAL LOCAL DE TOURNON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
070005566;CENTRE HOSPITALIER ARDECHE MERIDIONALE;070000484;CENTRE HOSPITALIER BOIS VERT;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
070005566;CENTRE HOSPITALIER ARDECHE MERIDIONALE;070000609;CENTRE HOSPITALIER D'AUBENAS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;54;72.08;C;4-Non calculable;54;71.73;54;81.52;54;79.02;54;68.28;54;58.47;54;61.88
070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070780168;CLINIQUE DU VIVARAIS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
070780424;CLINIQUE PASTEUR;070780424;CLINIQUE PASTEUR;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;310;73.31;C;2-Stable;310;71.85;310;80.89;310;79.83;310;75.4;310;64.5;310;61.04
080000037;CENTRE HOSPITALIER DE SEDAN;080000110;CENTRE HOSPITALIER DE SEDAN;Grand Est;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
080001969;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL;Grand Est;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
080000060;HOPITAL LOCAL DE FUMAY;080000284;CENTRE HOSPITALIER DE FUMAY;Grand Est;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
080000615;CENTRE HOSPITALIER DE CHARLEVILLE MEZIERES;080000425;HOPITAL MANCHESTER - CH CHARLEVILLE;Grand Est;1- Obligatoire;1- Oui;67;71.95;C;4-Non calculable;67;67.7;67;78.43;67;76.89;67;75.57;67;58.87;67;66.93
080010473;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;Grand Est;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D''ARIEGE;090000175;CHIVA SITE FOIX;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
090781816;CENTRE HOSPITALIER ARIEGE COUSERANS;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
100000082;CLINIQUE DU PAYS DE SEINE;100000082;CLINIQUE DU PAYS DE SEINE;Grand Est;1- Obligatoire;1- Oui;32;71.64;C;4-Non calculable;32;72.45;32;78.78;32;76.99;32;70.92;32;58.43;32;62.16
100000017;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES;Grand Est;1- Obligatoire;1- Oui;44;70.65;D;4-Non calculable;44;68.71;44;77.08;44;76.8;44;71.16;44;50.56;44;66.27
100000124;POLYCLINIQUE  MONTIER LA CELLE;100000124;POLYCLINIQUE  MONTIER LA CELLE;Grand Est;1- Obligatoire;1- Oui;56;75.81;B;3-Amélioration;56;74.88;56;80.48;56;80.82;56;77.54;56;59.18;56;70.37
100000157;POLYCLINIQUE DES URSULINES;100000157;POLYCLINIQUE DES URSULINES;Grand Est;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
100006279;GROUPEMENT HOSPITALIER AUBE MARNE;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;Grand Est;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
100002351;CLINIQUE DE CHAMPAGNE;100002351;CLINIQUE DE CHAMPAGNE;Grand Est;1- Obligatoire;1- Oui;31;72.15;C;4-Non calculable;31;71.55;31;81.81;31;78.63;31;64.84;31;63.63;31;63.35
110780061;CENTRE HOSPITALIER DE CARCASSONNE;110000023;CH CARCASSONNE;Occitanie;1- Obligatoire;1- Oui;203;69.63;D;2-Stable;203;69.81;203;77.57;203;75.74;203;71.39;203;51.15;203;58.88
110780137;CENTRE HOSPITALIER DE NARBONNE;110000056;CH NARBONNE HOTEL DIEU;Occitanie;1- Obligatoire;1- Oui;127;70.36;D;4-Non calculable;127;68.82;127;80.9;127;80;127;68.38;127;49.98;127;59.71
110780772;CENTRE HOSPITALIER DE LEZIGNAN CORBIERES;110000247;CH LEZIGNAN CORBIERES;Occitanie;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
110780228;POLYCLINIQUE LE LANGUEDOC;110780228;POLYCLINIQUE LE LANGUEDOC;Occitanie;1- Obligatoire;1- Oui;104;72.88;C;2-Stable;104;69.45;104;81.32;104;81.51;104;69.9;104;52.25;104;67.96
110780483;POLYCLINIQUE MONTREAL;110780483;POLYCLINIQUE MONTREAL;Occitanie;1- Obligatoire;1- Oui;40;75.13;B;4-Non calculable;40;77.89;40;81.46;40;81.71;40;73.14;40;60.22;40;66.54
120780044;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
120780069;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;120000054;CH VILLEFRANCHE ROUERG SITE CHARTREUSE;Occitanie;1- Obligatoire;2- Non;;;NR;4-Non calculable;;;;;;;;;;;;
120780085;CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE;120000070;CH PIERRE DELPECH DECAZEVILLE;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
120004528;CENTRE HOSPITALIER DE MILLAU;120004569;CH MILLAU;Occitanie;1- Obligatoire;1- Oui;99;70.45;D;1-Diminution;99;69.96;99;81.12;99;77.26;99;66.35;99;52.88;99;60.63
120004619;CENTRE HOSPITALIER DE SAINT AFFRIQUE;120004668;CH EMILE BOREL ST AFFRIQUE;Occitanie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130041916;CHI AIX PERTUIS;130000409;CHI SITE D'AIX EN PROVENCE;PACA;1- Obligatoire;1- Oui;39;64.92;D;2-Stable;39;63.14;39;73.03;39;74.18;39;63.56;39;56.5;39;50.81
130781446;CENTRE HOSPITALIER EDMOND GARCIN D''AUBAGNE;130000565;CH EDMOND GARCIN D'AUBAGNE;PACA;1- Obligatoire;1- Oui;48;71.57;C;4-Non calculable;48;68.56;48;83.06;48;80.4;48;66.37;48;40.05;48;68.42
130782634;CENTRE HOSPITALIER DE SALON DE PROVENCE;130001225;CH SALON DE PROVENCE;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130001647;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES;PACA;1- Obligatoire;1- Oui;713;76.29;B;2-Stable;713;76.62;713;83.81;713;83.11;713;68.57;713;71.51;713;67.41
130785512;CENTRE HOSPITALIER DE LA CIOTAT;130002215;CENTRE HOSPITALIER DE LA CIOTAT;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130789274;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130789316;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130008253;CLINIQUE DE VITROLLES;130008253;CLINIQUE DE VITROLLES;PACA;1- Obligatoire;1- Oui;170;74.11;B;2-Stable;170;76.23;170;81.92;170;80.13;170;73.79;170;67.48;170;59.25
130037922;CLINIQUE DE LA RESIDENCE DU PARC;130037922;CLINIQUE DE LA RESIDENCE DU PARC;PACA;1- Obligatoire;1- Oui;69;78.15;A;3-Amélioration;69;73.33;69;86.84;69;88.42;69;73.85;69;50.8;69;76.4
130041767;EUROMED CARDIO;130041767;EUROMED CARDIO;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130042096;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;PACA;1- Obligatoire;1- Oui;77;69.88;D;4-Non calculable;77;74.52;77;78.07;77;75.72;77;70.56;77;60.14;77;52.33
130043664;HOPITAL EUROPEEN;130043664;HOPITAL EUROPEEN;PACA;1- Obligatoire;1- Oui;482;77.34;A;2-Stable;482;77.89;482;80.99;482;82.81;482;79.17;482;68.39;482;67.56
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130780521;APHM HOPITAL NORD;PACA;1- Obligatoire;1- Oui;100;68.83;D;2-Stable;100;66.49;100;77.77;100;78.8;100;61.22;100;44.78;100;65.11
130781289;POLYCLINIQUE DU PARC RAMBOT PROVENCALE;130781289;POLYCLINIQUE DU PARC RAMBOT PROVENCALE;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130781370;CLINIQUE JEANNE D''ARC;130781370;CLINIQUE JEANNE D'ARC;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130781479;HOPITAL PRIVE LA CASAMANCE;130781479;HOPITAL PRIVE LA CASAMANCE;PACA;1- Obligatoire;1- Oui;215;71.51;C;2-Stable;215;71.91;215;79;215;79.25;215;69.93;215;50.73;215;62.45
130781867;CLINIQUE DE LA CIOTAT;130781867;CLINIQUE DE LA CIOTAT;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130782071;CLINIQUE DE L''ETANG DE L''OLIVIER;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130782147;CLINIQUE GENERALE DE MARIGNANE;130782147;CLINIQUE GENERALE DE MARIGNANE;PACA;1- Obligatoire;1- Oui;30;71.54;C;4-Non calculable;30;74.9;30;77.89;30;74.27;30;73.11;30;61.19;30;59.41
130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;PACA;1- Obligatoire;1- Oui;50;72.78;C;4-Non calculable;50;74.41;50;80.46;50;79.87;50;67.83;50;66.99;50;59.23
130782675;CLINIQUE VIGNOLI;130782675;CLINIQUE VIGNOLI;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783236;APHM HOPITAL DE LA CONCEPTION;PACA;1- Obligatoire;1- Oui;116;69.02;D;2-Stable;116;66.2;116;80;116;79.79;116;58.32;116;47.33;116;63.56
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783293;APHM HOPITAL LA TIMONE ADULTES;PACA;1- Obligatoire;1- Oui;221;67.65;D;4-Non calculable;221;64.79;221;78.89;221;80.17;221;57.83;221;43.84;221;61.39
130783327;CLINIQUE BOUCHARD;130783327;CLINIQUE BOUCHARD;PACA;1- Obligatoire;1- Oui;225;70.66;D;1-Diminution;225;67.29;225;80.27;225;80.32;225;72.23;225;67.69;225;52.52
130783665;CLINIQUE DE BONNEVEINE;130783665;CLINIQUE DE BONNEVEINE;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130783723;CLINIQUE JUGE;130783723;CLINIQUE JUGE;PACA;1- Obligatoire;1- Oui;160;75.57;B;1-Diminution;160;74.68;160;79.45;160;82.92;160;73.95;160;66.56;160;68.25
130784051;HOPITAL PRIVE CLAIRVAL;130784051;HOPITAL PRIVE CLAIRVAL;PACA;1- Obligatoire;1- Oui;441;72.87;C;2-Stable;441;70.83;441;81.79;441;82.54;441;71.16;441;55.1;441;61.93
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130784713;HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;PACA;1- Obligatoire;1- Oui;299;74.31;B;4-Non calculable;299;74.94;299;81.36;299;82.33;299;73.36;299;59.01;299;62.46
130784903;CLINIQUE LA PHOCEANNE;130784903;CLINIQUE LA PHOCEANNE;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130785389;CLINIQUE CHANTECLER;130785389;CLINIQUE CHANTECLER;PACA;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130785652;HOPITAL SAINT JOSEPH;130785652;HOPITAL SAINT JOSEPH;PACA;1- Obligatoire;1- Oui;512;73.34;C;2-Stable;512;73.16;512;80.76;512;79.79;512;70.8;512;70.6;512;60.99
130785678;HOPITAL PRIVE MARSEILLE VERT COTEAU BEAUREGARD;130785678;HOPITAL PRIVE VERT COTEAU BEAUREGARD;PACA;1- Obligatoire;1- Oui;46;74.54;B;4-Non calculable;46;77.11;46;81.57;46;81.26;46;72.93;46;66.08;46;59.54
130786361;POLYCLINIQUE DU PARC RAMBOT;130786361;POLYCLINIQUE DU PARC RAMBOT;PACA;1- Obligatoire;1- Oui;325;71.99;C;2-Stable;325;72.74;325;81.24;325;82.76;325;61.44;325;47.19;325;66.28
130786445;MATERNITE CATHOLIQUE DE PROVENCE L''ETOILE;130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;PACA;1- Obligatoire;1- Oui;513;74.18;B;3-Amélioration;513;79.02;513;81.37;513;78.14;513;77.04;513;64.74;513;55.68
130786742;HOPITAL D''INSTRUCTION DES ARMEES LAVERAN;130786742;HIA LAVERAN;PACA;1- Obligatoire;1- Oui;51;73.32;C;1-Diminution;51;69.4;51;82.6;51;83.09;51;69.34;51;62.48;51;64.74
130789159;CENTRE CARDIO VASCULAIRE VALMANTE;130789159;CENTRE CARDIO VASCULAIRE VALMANTE;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130804297;APHM HOPITAL LA TIMONE ENFANTS;PACA;1- Obligatoire;1- Oui;34;63.27;D;4-Non calculable;34;58.46;34;72.85;34;74.59;34;45.08;34;45.72;34;63.73
130001928;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130809015;CTRE GERONTO DPTAL LA TOUR BLANCHE;PACA;2- Facultatif;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
130810740;CLINIQUE AXIUM;130810740;CLINIQUE AXIUM;PACA;1- Obligatoire;1- Oui;243;75.79;B;2-Stable;243;75.47;243;82.85;243;83.9;243;71.76;243;62.66;243;66.73
140000035;CH LISIEUX;140000027;CENTRE HOSPITALIER DE LISIEUX;Normandie;1- Obligatoire;1- Oui;;;DI;4-Non calculable;;;;;;;;;;;;
